,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4789821807,23,450,13,1605632938013,DUO_SUPPORT,TOP
1,KR,4779656645,110,450,13,1605215465672,DUO,TOP
2,KR,4773613276,523,430,13,1604951189785,DUO_CARRY,BOTTOM
3,KR,4773466778,876,430,13,1604936596030,DUO_SUPPORT,NONE
4,KR,4773376295,83,450,13,1604935369012,DUO_SUPPORT,NONE
5,KR,4773341966,79,420,13,1604931274909,SOLO,BOTTOM
6,KR,4773212525,517,420,13,1604928533174,SOLO,TOP
7,KR,4764348873,516,420,13,1604596345620,SOLO,TOP
8,KR,4764341434,117,420,13,1604592299776,SOLO,TOP
9,KR,4764207643,516,420,13,1604590637713,DUO_SUPPORT,NONE
10,KR,4760343605,516,420,13,1604422229959,SOLO,TOP
11,KR,4760259125,126,420,13,1604419939570,SOLO,TOP
12,KR,4760181070,24,420,13,1604416244564,SOLO,TOP
13,KR,4760111744,517,420,13,1604413357934,DUO,TOP
14,KR,4760045907,85,420,13,1604411913656,DUO_SUPPORT,NONE
15,KR,4759932555,875,420,13,1604408321436,DUO_SUPPORT,BOTTOM
16,KR,4759729650,106,420,13,1604404956899,DUO,TOP
17,KR,4759541580,61,420,13,1604395787697,SOLO,MID
18,KR,4759373605,516,420,13,1604391975306,SOLO,TOP
19,KR,4759318248,82,420,13,1604390011670,SOLO,TOP
20,KR,4759333822,164,420,13,1604388204861,SOLO,TOP
21,KR,4758623671,85,420,13,1604349612862,DUO_SUPPORT,MID
22,KR,4758651220,61,420,13,1604346194369,SOLO,MID
23,KR,4758580209,126,420,13,1604342785700,DUO_SUPPORT,NONE
24,KR,4758476578,164,420,13,1604339126660,SOLO,TOP
25,KR,4758523079,126,420,13,1604336951636,SOLO,TOP
26,KR,4758457022,61,420,13,1604333899233,DUO_SUPPORT,NONE
27,KR,4758282067,164,420,13,1604327681668,SOLO,TOP
28,KR,4758128917,126,420,13,1604324069326,SOLO,TOP
29,KR,4758110761,516,420,13,1604321841697,DUO,TOP
