,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4846412125,412,420,13,1607871979554,DUO_SUPPORT,BOTTOM
1,KR,4846186696,412,420,13,1607869837972,DUO_SUPPORT,NONE
2,KR,4846200373,12,420,13,1607867833125,DUO_SUPPORT,BOTTOM
3,KR,4846050968,12,420,13,1607865097223,DUO_SUPPORT,NONE
4,KR,4845917833,78,420,13,1607861856974,SOLO,TOP
5,KR,4844942830,432,430,13,1607840732258,DUO_SUPPORT,MID
6,KR,4844828173,412,430,13,1607838880169,DUO_SUPPORT,NONE
7,KR,4844310141,12,420,13,1607792850987,DUO_SUPPORT,BOTTOM
8,KR,4844053997,412,420,13,1607790049857,DUO_SUPPORT,BOTTOM
9,KR,4843845603,497,420,13,1607787335174,DUO_SUPPORT,BOTTOM
10,KR,4843657308,412,420,13,1607784731334,DUO_SUPPORT,MID
11,KR,4843405272,12,420,13,1607776415784,DUO_SUPPORT,BOTTOM
12,KR,4843275140,89,420,13,1607773559149,DUO_SUPPORT,BOTTOM
13,KR,4843215836,412,420,13,1607770932312,DUO_SUPPORT,BOTTOM
14,KR,4843066706,412,420,13,1607768017618,DUO_SUPPORT,MID
15,KR,4842777815,497,420,13,1607765031893,DUO_SUPPORT,NONE
16,KR,4842459595,89,420,13,1607759124862,DUO_SUPPORT,BOTTOM
17,KR,4842449167,89,420,13,1607756383717,SOLO,BOTTOM
18,KR,4842356057,89,420,13,1607754826441,DUO_SUPPORT,NONE
19,KR,4842283498,12,420,13,1607750641311,DUO_SUPPORT,BOTTOM
20,KR,4842239727,111,420,13,1607749304082,DUO_SUPPORT,NONE
21,KR,4842212726,89,420,13,1607746286803,DUO_SUPPORT,BOTTOM
22,KR,4841548169,43,420,13,1607709252394,DUO,MID
23,KR,4841522057,412,420,13,1607705881624,DUO_SUPPORT,BOTTOM
24,KR,4841423328,78,420,13,1607702492592,SOLO,TOP
25,KR,4841324484,497,420,13,1607699490811,DUO_SUPPORT,BOTTOM
26,KR,4841179164,12,420,13,1607697805396,DUO_SUPPORT,BOTTOM
27,KR,4840302925,89,420,13,1607677517425,SOLO,BOTTOM
28,KR,4839332274,78,420,13,1607623809330,SOLO,TOP
29,KR,4839209253,412,420,13,1607620809308,DUO_SUPPORT,BOTTOM
