,nickname,lane,team,country,tier,point,name,accountId,id,puuid
0,Kellin,Support, Team Dynamics,Korea,Challenger,"1,600",시간빠르다앙,6o4tDKe7B7R7UVseRfUwSzuXPiS2_irGPXZ6vKIkVtGtg2s,OhSJ8C-Ti3MzjL-X4ipbHaydmYOQiEvpzD03iM4rDCZhzBA,QlNgibOujq925_um8u59JjpIfuy1-kWFT-Z_eaQ-7wv_aiZ1TepQ6ntxW_4pE2wiw2G2Yki26ked4w
1,XUN,Jungle, Invictus Gaming Young,China,Challenger,"1,590",xunxunxuno,4wXVtrD1tJttOQ_xaAnK24XSBIPv92419a6HNW2gF-Nua2uFRoZt30bV,gsEUNvCfeHc6AauXPpSLXLNUmRP4JoIV7k6kjvYHjqufgPQ,pSKQ-XanCD_BbiBiYCGiHg5sLSTxEYfFdIE5KDJtvisIBye6-iebePnfpf7n94E9NYl68TYirXajvg
2,Viper,ADC,No Team,Korea,Challenger,"1,527",viper3,b-0NO-Z9ZBwaYnVdQXKR14X8FxwU-XtFN_meoeY4HrqRJQ0,U7zVfkmzX-L8uzRFDBkramFVpEO_2urPnIN5ElL_BSHp3HE,XOZrf4GmY8GLqGjEpLpwEd_vzXIJOLYKJqTjD_LPihrR-smmpL1nkZRsxKLnEmQhTsjTpXGKGHfOTQ
3,Hoya,Top, hyFresh Blade,Korea,Challenger,"1,512",BRB 호야,a2zN0ZOa4GioX22BICT-iB83hVqNNuHnRtFDtF73otYUFNw,whRfP1x7deMby4K5wSByo9TB84NW9qhFfIQLu_99oSxWt8c,W8b8ugzYjTqpqshxJzduFwVjvtgjggBiStaweyhDpZV8zhsUqJhGg72yBRqRBz0LLaRi4oYIxtNa4w
4,Knight,Mid, Top Esports,China,Challenger,"1,485",kk9qwq,8XyWBc9hcDnvEqh8d99rhayEAKAqGEBwaC7yij3jLk7_Wj7Xap2IrAJi,YfZ--tnoJ4b6Ty5mLve2ALX5VV82r6qhcwwo3-1EzNlgzXk,4Qo68Z19Sf-AWe2T4OMhMYjCIk_djOhDg9pv523op0w0ffajzzEYn-5dE9UcPCXMfd8kNdt8zHOFEA
5,Khael,Support, Gen.G Academy,Korea,Challenger,"1,445",Gen G Khael,jUQGFlQ9ntT7eVcTM-PBXphbNK33ji_VLobhhV9KTuf34kWevRcGrfbH,Dp9EVI3y81FfAmUjJrdyaSEumCa9okEIb7YY2Ii3ocRKFbg,sZ6IAGymen1I8Ig7D2ZOzfODq0PJRkfZpCX7XEX761zKDhqLc5O1kvSgvxHiA9Y6pcbmXj8HECtsqg
6,Zeus,Top, T1,Korea,Challenger,"1,442",T1 Zeus,dE53yriM9BqypLNDgESpJhhaw6-j4Zw1r07tUSR1e9eUEbo,BFKb6MvcZwBvxxyBTOodte4UPzqGolUPqpZxybWmUZME40o,NY_jRKJUbgi0HFDCucxuk_bIH-BxGQ8BA7SmHdpX9CoGhnjqO9JPK8wbdF1a9rLmasmK0sLLKwY61A
7,Canyon,Jungle, DAMWON Gaming,Korea,Challenger,"1,417",HUANG TONG DAYE,PYXClh7pEK877DN7cSvaYuyGto5d35JNVF8ILWYRkUlE8kRGn2cWAoET,nrVY4k4YqyLsUKlFn16TfA17d0WBzfI8eVhtVCoX0fEzU88,jpniUdYLI4zS7D0YP78C-BCBsynWs1lTeTuSRDq2YqUn0b_OIq1Igb4rC0xz4M0cAzuJlW02xE71kw
8,JunJia,Jungle, EDward Gaming,China,Challenger,"1,396",EDGZhaoQQ888765,JUsz4v1S48AIwAKk6KBxvVon5Hmt8WbTzdjsk4Usvy2PIRcX_6zGemLD,Fn_IX0dtEBVGZoQCjTnLQQzz3Q90Esgvk6in_8yDFnYWNjc,LTMmpSyXCMVzu163UvSWXLcG2sZwlaOH3bafxPdwAMItLX5O1Tf4MAwGpGVc5VjMY_Lptm4gGb2gFA
10,Bay,Mid, Team Dynamics,Korea,Challenger,"1,378",쭌 베,oyjWMaBoVfLdnDZjOPwyd_ySQUcGw2nHbKaMUe1PuI98JgQ,i34Ey_5qxbdVpBStQy7Qb5l6-D4v2yoy5y8FX1eDpcOMUhU,GrTO7HWgRHUy9qNHNusDPC3YCVL1RJnYUdTHZVDo1Q6bFFu0HlM8lSo_3QUooogVUrXW1VO9uzf8Zw
