,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4974588218,54,420,13,1612424398581,DUO,TOP
1,KR,4974593717,234,420,13,1612422702282,DUO_SUPPORT,NONE
2,KR,4974610117,517,420,13,1612421458330,DUO_SUPPORT,NONE
3,KR,4974486244,61,420,13,1612419862759,DUO_SUPPORT,NONE
4,KR,4974563878,235,430,13,1612418922659,DUO,NONE
5,KR,4974427821,234,430,13,1612416410941,DUO,TOP
6,KR,4970234806,41,420,13,1612264062448,SOLO,TOP
7,KR,4969692657,150,420,13,1612248341425,DUO,TOP
8,KR,4969557078,150,420,13,1612246284688,DUO_SUPPORT,NONE
9,KR,4969359690,126,420,13,1612243031619,SOLO,TOP
10,KR,4969295793,427,420,13,1612240963672,SOLO,MID
11,KR,4966665646,58,420,13,1612121031927,DUO,TOP
12,KR,4966673173,78,420,13,1612118729571,SOLO,TOP
13,KR,4966314689,150,420,13,1612104823097,SOLO,TOP
14,KR,4966215897,517,420,13,1612102514776,SOLO,TOP
15,KR,4966056613,164,420,13,1612100508679,DUO,TOP
16,KR,4965844030,427,420,13,1612097741886,NONE,JUNGLE
17,KR,4963725559,78,420,13,1612025118250,SOLO,TOP
18,KR,4963266540,41,420,13,1612017698302,SOLO,TOP
19,KR,4963075462,79,420,13,1612015370669,DUO,TOP
20,KR,4962906023,164,420,13,1612013347681,NONE,JUNGLE
21,KR,4960471137,117,420,13,1611931869997,SOLO,TOP
22,KR,4960302443,79,420,13,1611929775530,DUO_SUPPORT,NONE
23,KR,4960215872,427,420,13,1611928443702,DUO_SUPPORT,NONE
24,KR,4960083491,98,420,13,1611925858445,SOLO,TOP
25,KR,4960038178,41,420,13,1611924822622,DUO,NONE
26,KR,4957883038,41,420,13,1611844823115,DUO_SUPPORT,MID
27,KR,4957823211,133,420,13,1611842528949,SOLO,TOP
28,KR,4957750609,41,420,13,1611839785548,SOLO,TOP
29,KR,4955737061,54,420,13,1611769385940,SOLO,TOP
