,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4847109022,202,420,13,1607923736818,DUO,NONE
1,KR,4846771474,76,420,13,1607883281246,NONE,JUNGLE
2,KR,4846554071,163,420,13,1607877324563,DUO_SUPPORT,NONE
3,KR,4846570640,2,420,13,1607875619457,DUO_SUPPORT,NONE
4,KR,4846382633,76,420,13,1607872064369,NONE,JUNGLE
5,KR,4846167524,12,420,13,1607869969205,DUO_SUPPORT,NONE
6,KR,4846191376,104,420,13,1607868097752,NONE,JUNGLE
7,KR,4844420972,104,420,13,1607799803177,NONE,JUNGLE
8,KR,4844317812,2,420,13,1607797155809,NONE,JUNGLE
9,KR,4844235632,876,420,13,1607795436253,NONE,JUNGLE
10,KR,4844293126,876,420,13,1607794203280,DUO_SUPPORT,NONE
11,KR,4843820318,145,420,13,1607785612730,DUO_SUPPORT,NONE
12,KR,4843723317,421,420,13,1607783797432,NONE,JUNGLE
13,KR,4843623140,104,420,13,1607781049613,NONE,JUNGLE
14,KR,4843491891,104,420,13,1607778174223,NONE,JUNGLE
15,KR,4843422759,876,420,13,1607775785283,NONE,JUNGLE
16,KR,4843276426,202,420,13,1607773902484,DUO_CARRY,BOTTOM
17,KR,4843198644,163,420,13,1607771698008,NONE,JUNGLE
18,KR,4842274192,81,420,13,1607750837777,DUO_CARRY,BOTTOM
19,KR,4841862026,121,420,13,1607713150009,NONE,JUNGLE
20,KR,4841507495,421,420,13,1607708592395,NONE,JUNGLE
21,KR,4841520620,2,420,13,1607705207133,DUO_SUPPORT,BOTTOM
22,KR,4841304649,141,420,13,1607699473738,NONE,JUNGLE
23,KR,4841237922,163,420,13,1607697527210,NONE,JUNGLE
24,KR,4841212880,104,420,13,1607696066373,DUO_SUPPORT,NONE
25,KR,4841105696,245,420,13,1607694130664,NONE,JUNGLE
26,KR,4840957777,876,420,13,1607691927448,NONE,JUNGLE
27,KR,4840949647,120,420,13,1607690176421,NONE,JUNGLE
28,KR,4840916106,163,420,13,1607688973925,DUO_SUPPORT,NONE
29,KR,4840850680,876,420,13,1607687117248,NONE,JUNGLE
