,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4073908789,157,420,13,1578563941168,DUO_CARRY,BOTTOM
1,KR,4073571271,7,420,13,1578544222582,SOLO,MID
2,KR,4073228590,154,420,13,1578506483866,SOLO,MID
3,KR,4073234666,82,420,13,1578503965789,SOLO,MID
4,KR,4073250417,80,420,13,1578501802019,SOLO,MID
5,KR,4073144348,236,420,13,1578498947899,SOLO,MID
6,KR,4072304423,246,420,13,1578479479918,DUO_SUPPORT,NONE
7,KR,4071887553,517,420,13,1578461652649,SOLO,TOP
8,KR,4071382152,555,420,13,1578421642668,SOLO,MID
9,KR,4071340429,157,420,13,1578419141846,SOLO,TOP
10,KR,4071284653,105,420,13,1578416138439,SOLO,MID
11,KR,4071236811,412,420,13,1578413100419,DUO_SUPPORT,BOTTOM
12,KR,4071203442,555,420,13,1578411165377,DUO_SUPPORT,NONE
13,KR,4070634108,127,420,13,1578392934795,DUO,MID
14,KR,4069991737,68,420,13,1578375560811,SOLO,MID
15,KR,4069947160,555,420,13,1578373867692,DUO_SUPPORT,NONE
16,KR,4069730478,246,420,13,1578333840779,DUO,NONE
17,KR,4069665968,68,420,13,1578331575398,DUO,MID
18,KR,4069645378,21,420,13,1578329778041,DUO_CARRY,BOTTOM
19,KR,4069611863,80,420,13,1578327430904,DUO_SUPPORT,NONE
20,KR,4069574032,111,420,13,1578325010021,DUO_SUPPORT,BOTTOM
21,KR,4069438652,555,420,13,1578322347778,DUO,MID
22,KR,4068665447,236,420,13,1578304787573,SOLO,MID
23,KR,4068381803,235,420,13,1578287928938,SOLO,BOTTOM
24,KR,4068018766,236,420,13,1578248273476,SOLO,MID
25,KR,4067975656,555,420,13,1578245365097,SOLO,MID
26,KR,4067981725,555,420,13,1578243153038,SOLO,MID
27,KR,4067856691,68,420,13,1578240852564,SOLO,MID
28,KR,4067832647,111,420,13,1578238981572,DUO_SUPPORT,BOTTOM
29,KR,4067735572,105,420,13,1578236617225,DUO_SUPPORT,NONE
