,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848255562,54,420,13,1607954519349,SOLO,TOP
1,KR,4848189401,84,420,13,1607952833717,DUO,MID
2,KR,4848151587,92,420,13,1607950534235,DUO,MID
3,KR,4846543269,429,450,13,1607876638655,DUO,NONE
4,KR,4846166661,266,420,13,1607869715563,SOLO,TOP
5,KR,4846109122,114,420,13,1607867550548,SOLO,TOP
6,KR,4845986966,517,420,13,1607864149169,SOLO,TOP
7,KR,4843563934,84,420,13,1607781162236,SOLO,TOP
8,KR,4843515558,114,420,13,1607779131441,SOLO,TOP
9,KR,4843423857,164,420,13,1607776068637,SOLO,TOP
10,KR,4842816540,164,420,13,1607764659886,NONE,JUNGLE
11,KR,4842568487,54,420,13,1607761922605,SOLO,TOP
12,KR,4840191633,84,420,13,1607672824443,DUO_SUPPORT,NONE
13,KR,4838188363,84,420,13,1607592572518,DUO_SUPPORT,NONE
14,KR,4838211312,164,420,13,1607589169270,DUO_SUPPORT,NONE
15,KR,4838078087,164,420,13,1607587527916,DUO_SUPPORT,NONE
16,KR,4838134783,84,420,13,1607586117376,DUO_SUPPORT,NONE
17,KR,4837987931,164,420,13,1607582698263,DUO_SUPPORT,NONE
18,KR,4836741629,164,420,13,1607511390793,DUO_SUPPORT,NONE
19,KR,4836321766,164,420,13,1607507164531,NONE,JUNGLE
20,KR,4836196866,266,420,13,1607504877730,DUO,MID
21,KR,4836161209,84,420,13,1607502319093,SOLO,TOP
22,KR,4836085268,111,420,13,1607499720987,DUO_SUPPORT,BOTTOM
23,KR,4836090275,236,420,13,1607497604378,SOLO,MID
24,KR,4835960513,164,420,13,1607493097392,DUO_SUPPORT,NONE
25,KR,4834234422,8,420,13,1607420434163,DUO,TOP
26,KR,4834180091,84,420,13,1607417967265,SOLO,MID
27,KR,4834057610,92,420,13,1607416354194,SOLO,TOP
28,KR,4834051382,114,420,13,1607413461289,DUO_SUPPORT,NONE
29,KR,4833956932,82,420,13,1607411497821,SOLO,TOP
