,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4996598688,238,420,13,1613108956461,SOLO,MID
1,KR,4996620962,777,420,13,1613106784322,DUO_SUPPORT,NONE
2,KR,4996416203,61,420,13,1613105258332,DUO,NONE
3,KR,4996341232,61,420,13,1613102984024,SOLO,MID
4,KR,4996163008,38,420,13,1613099693066,DUO_SUPPORT,NONE
5,KR,4995297041,117,420,13,1613052602195,SOLO,MID
6,KR,4995228708,157,420,13,1613050972250,SOLO,MID
7,KR,4995107284,777,420,13,1613048547030,SOLO,MID
8,KR,4995032342,61,420,13,1613045318092,SOLO,MID
9,KR,4994743705,4,420,13,1613042873362,SOLO,MID
10,KR,4993541594,777,420,13,1613014203129,DUO,MID
11,KR,4993416225,147,420,13,1613012292994,DUO_SUPPORT,BOTTOM
12,KR,4980850949,157,440,13,1612612602922,SOLO,MID
13,KR,4980710285,58,440,13,1612610199643,SOLO,MID
14,KR,4980661059,81,440,13,1612608186249,DUO_CARRY,BOTTOM
15,KR,4980533983,58,440,13,1612606336959,SOLO,MID
16,KR,4980389265,58,440,13,1612604831312,DUO_SUPPORT,NONE
17,KR,4980412763,58,420,13,1612603249317,DUO_SUPPORT,NONE
18,KR,4963628369,147,420,13,1612022960032,SOLO,MID
19,KR,4963398852,147,420,13,1612020487619,SOLO,MID
20,KR,4962392038,61,420,13,1611999553306,SOLO,MID
21,KR,4962194483,4,420,13,1611997378515,SOLO,MID
22,KR,4961988904,26,420,13,1611995824357,DUO_SUPPORT,NONE
23,KR,4961943866,7,420,13,1611994341930,DUO_SUPPORT,NONE
24,KR,4961812227,117,420,13,1611991137419,SOLO,MID
25,KR,4961652513,517,420,13,1611985521888,SOLO,MID
26,KR,4961576735,777,420,13,1611983751891,SOLO,MID
27,KR,4950537728,39,420,13,1611585237603,SOLO,MID
28,KR,4950408106,39,420,13,1611582871001,SOLO,MID
29,KR,4950288768,38,420,13,1611580785575,SOLO,MID
