,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848683961,104,420,13,1607969727391,NONE,JUNGLE
1,KR,4848671602,21,420,13,1607967119119,DUO,MID
2,KR,4848499951,517,420,13,1607965051740,SOLO,MID
3,KR,4848516178,236,420,13,1607963114160,DUO_CARRY,BOTTOM
4,KR,4848502395,202,420,13,1607960921904,DUO_CARRY,BOTTOM
5,KR,4848426453,201,420,13,1607958569601,DUO_SUPPORT,BOTTOM
6,KR,4846356552,876,420,13,1607873470938,NONE,JUNGLE
7,KR,4846440529,360,420,13,1607871412189,DUO_CARRY,BOTTOM
8,KR,4846204587,61,420,13,1607869164411,SOLO,MID
9,KR,4843899551,51,420,13,1607788718862,DUO_CARRY,BOTTOM
10,KR,4842577547,51,420,13,1607761645473,DUO,NONE
11,KR,4842488251,54,420,13,1607758838217,SOLO,TOP
12,KR,4841862026,360,420,13,1607713150009,DUO_CARRY,BOTTOM
13,KR,4841750934,498,420,13,1607710914348,DUO_CARRY,BOTTOM
14,KR,4841507495,203,420,13,1607708592395,NONE,JUNGLE
15,KR,4841542577,126,420,13,1607706225458,SOLO,TOP
16,KR,4841357615,163,420,13,1607703777292,DUO_SUPPORT,NONE
17,KR,4841381281,104,420,13,1607701695418,NONE,JUNGLE
18,KR,4841268854,202,420,13,1607700698675,DUO,NONE
19,KR,4841313252,145,420,13,1607699078216,DUO_SUPPORT,NONE
20,KR,4841214264,145,420,13,1607696500520,DUO_CARRY,BOTTOM
21,KR,4840305368,876,420,13,1607678520443,DUO_SUPPORT,NONE
22,KR,4840249841,202,420,13,1607676666116,DUO_CARRY,BOTTOM
23,KR,4840154733,145,420,13,1607673882935,DUO_CARRY,BOTTOM
24,KR,4840066743,145,420,13,1607670722212,DUO_CARRY,BOTTOM
25,KR,4839255343,84,420,13,1607626363267,SOLO,MID
26,KR,4839282950,145,420,13,1607624101983,DUO_CARRY,BOTTOM
27,KR,4839310597,21,420,13,1607622056488,DUO_CARRY,BOTTOM
28,KR,4839238215,145,420,13,1607620205930,DUO_CARRY,BOTTOM
29,KR,4839205344,12,420,13,1607617990722,DUO_SUPPORT,TOP
