,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4064867381,246,420,13,1578134975501,DUO_SUPPORT,NONE
1,KR,4064790336,68,420,13,1578132400324,SOLO,MID
2,KR,4064279132,131,420,13,1578117994062,DUO,MID
3,KR,4064290437,13,420,13,1578115090091,DUO,MID
4,KR,4064157937,84,420,13,1578113394737,SOLO,MID
5,KR,4064162162,142,420,13,1578111004491,SOLO,MID
6,KR,4063725236,246,420,13,1578073462800,DUO_SUPPORT,MID
7,KR,4063677631,80,420,13,1578071509854,SOLO,TOP
8,KR,4063674575,84,420,13,1578070258037,DUO_SUPPORT,NONE
9,KR,4063476977,68,420,13,1578066786195,SOLO,MID
10,KR,4063388680,142,420,13,1578064845616,SOLO,MID
11,KR,4063374225,58,420,13,1578063595575,DUO_SUPPORT,NONE
12,KR,4063238547,53,420,13,1578061878574,DUO_SUPPORT,BOTTOM
13,KR,4063123381,157,420,13,1578056723729,DUO_CARRY,BOTTOM
14,KR,4062996177,516,420,13,1578054246915,NONE,JUNGLE
15,KR,4062898589,82,420,13,1578052027358,DUO,MID
16,KR,4062859449,68,420,13,1578049805128,DUO_CARRY,MID
17,KR,4062883513,142,420,13,1578048481137,DUO_SUPPORT,NONE
18,KR,4059642177,555,420,13,1577881595320,DUO_SUPPORT,BOTTOM
19,KR,4059483903,134,420,13,1577879724806,DUO_CARRY,BOTTOM
20,KR,4059313929,516,420,13,1577877242044,SOLO,MID
21,KR,4059218017,516,420,13,1577875803743,DUO_SUPPORT,NONE
22,KR,4056524556,516,420,13,1577767374127,DUO_SUPPORT,NONE
23,KR,4056223145,516,420,13,1577724342170,SOLO,MID
24,KR,4056230312,516,420,13,1577723131311,DUO_SUPPORT,NONE
25,KR,4056183368,516,420,13,1577721351699,SOLO,MID
26,KR,4056108890,516,420,13,1577719715772,SOLO,MID
27,KR,4056092219,516,420,13,1577717330785,DUO_SUPPORT,NONE
28,KR,4054372575,145,420,13,1577634909766,DUO_SUPPORT,NONE
29,KR,4054179588,7,420,13,1577632946029,DUO_SUPPORT,NONE
