,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4823933846,517,420,13,1607017070920,DUO,MID
1,KR,4823880679,236,420,13,1607014644599,SOLO,MID
2,KR,4818188712,69,420,13,1606809392630,SOLO,MID
3,KR,4818155334,39,420,13,1606807207465,SOLO,MID
4,KR,4817988756,112,420,13,1606804068493,SOLO,MID
5,KR,4817915779,236,420,13,1606802059431,DUO_CARRY,MID
6,KR,4817922966,68,420,13,1606800722850,DUO_SUPPORT,NONE
7,KR,4817726262,39,420,13,1606798437784,SOLO,TOP
8,KR,4817365066,3,420,13,1606762704818,SOLO,MID
9,KR,4817333216,3,420,13,1606759959179,SOLO,MID
10,KR,4817208089,112,420,13,1606755639098,SOLO,MID
11,KR,4817205276,112,420,13,1606753801376,DUO_SUPPORT,NONE
12,KR,4817057960,112,420,13,1606749996306,SOLO,MID
13,KR,4817054185,134,420,13,1606748493769,DUO_SUPPORT,NONE
14,KR,4817000274,134,420,13,1606746627562,DUO_SUPPORT,NONE
15,KR,4816762293,517,420,13,1606743905628,SOLO,MID
16,KR,4816438929,112,420,13,1606737272636,DUO_SUPPORT,NONE
17,KR,4803168401,164,420,13,1606222065714,DUO,NONE
18,KR,4803025277,164,420,13,1606217798595,DUO_SUPPORT,NONE
19,KR,4802759550,112,420,13,1606215883874,DUO_SUPPORT,NONE
20,KR,4802693846,164,420,13,1606213364171,DUO_SUPPORT,NONE
21,KR,4802517930,164,420,13,1606210600664,SOLO,TOP
22,KR,4800783396,112,420,13,1606127857752,DUO,NONE
23,KR,4800626961,54,420,13,1606124523794,DUO,NONE
24,KR,4800673558,164,420,13,1606123115614,DUO_SUPPORT,NONE
25,KR,4799507341,126,420,13,1606052349170,DUO,NONE
26,KR,4799480451,164,420,13,1606050295926,DUO,NONE
27,KR,4792471549,122,420,13,1605777225835,DUO_SUPPORT,NONE
28,KR,4792241011,81,420,13,1605772017510,DUO_SUPPORT,NONE
29,KR,4792195239,122,420,13,1605769357319,DUO_SUPPORT,NONE
