,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4833331420,121,420,13,1607368476110,NONE,JUNGLE
1,KR,4833261562,266,420,13,1607366266296,NONE,JUNGLE
2,KR,4833199482,266,420,13,1607364510667,NONE,JUNGLE
3,KR,4833190355,266,420,13,1607357327647,NONE,JUNGLE
4,KR,4833075581,141,420,13,1607354524059,NONE,JUNGLE
5,KR,4833110915,104,420,13,1607352848988,NONE,JUNGLE
6,KR,4810930399,104,420,13,1606545301529,NONE,JUNGLE
7,KR,4809770908,104,420,13,1606485926220,NONE,JUNGLE
8,KR,4809601464,875,420,13,1606483090591,DUO_SUPPORT,BOTTOM
9,KR,4809573384,203,420,13,1606481163513,NONE,JUNGLE
10,KR,4809217895,120,420,13,1606479263416,NONE,JUNGLE
11,KR,4809069794,2,420,13,1606477131417,NONE,JUNGLE
12,KR,4809005079,76,420,13,1606475091854,NONE,JUNGLE
13,KR,4808813917,876,420,13,1606465703895,NONE,JUNGLE
14,KR,4808719734,120,420,13,1606463803511,DUO_SUPPORT,NONE
15,KR,4807942113,104,420,13,1606412614084,NONE,JUNGLE
16,KR,4807889113,876,420,13,1606410585631,NONE,JUNGLE
17,KR,4807876135,104,420,13,1606408640197,NONE,JUNGLE
18,KR,4807851009,76,420,13,1606405821397,NONE,JUNGLE
19,KR,4805796444,875,420,13,1606325051897,DUO_SUPPORT,BOTTOM
20,KR,4805822692,104,420,13,1606322711323,NONE,JUNGLE
21,KR,4805791016,76,420,13,1606321469656,DUO_SUPPORT,NONE
22,KR,4805477794,76,420,13,1606319493895,NONE,JUNGLE
23,KR,4805502292,875,420,13,1606317304154,DUO_SUPPORT,TOP
24,KR,4805460171,120,420,13,1606316241620,DUO_SUPPORT,NONE
25,KR,4805355308,76,420,13,1606314616375,NONE,JUNGLE
26,KR,4805321930,76,420,13,1606313434255,DUO_SUPPORT,NONE
27,KR,4803692936,120,420,13,1606242583762,NONE,JUNGLE
28,KR,4803671653,203,420,13,1606240999850,NONE,JUNGLE
29,KR,4777549942,236,450,13,1605112192978,DUO,NONE
