,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4996988344,39,420,13,1613119193736,DUO_SUPPORT,NONE
1,KR,4996981508,110,420,13,1613117497188,DUO_SUPPORT,NONE
2,KR,4996911663,51,420,13,1613115154484,DUO_CARRY,BOTTOM
3,KR,4996782936,145,420,13,1613112875003,DUO_CARRY,BOTTOM
4,KR,4996673112,126,420,13,1613110186270,SOLO,TOP
5,KR,4996634952,145,420,13,1613108130951,DUO_CARRY,BOTTOM
6,KR,4996600046,360,420,13,1613106377161,DUO_SUPPORT,NONE
7,KR,4996401705,81,420,13,1613103600710,NONE,JUNGLE
8,KR,4996148857,523,420,13,1613102075637,DUO_SUPPORT,NONE
9,KR,4992623676,110,420,13,1612970659158,DUO_CARRY,BOTTOM
10,KR,4992530637,15,420,13,1612967968117,DUO_CARRY,BOTTOM
11,KR,4992390765,150,420,13,1612965977266,DUO_CARRY,MID
12,KR,4992330284,222,420,13,1612964071066,DUO_CARRY,BOTTOM
13,KR,4992146943,126,420,13,1612961499147,DUO,NONE
14,KR,4991468278,429,900,13,1612951518848,DUO_SUPPORT,NONE
15,KR,4991424607,8,900,13,1612950027667,DUO,NONE
16,KR,4991371016,235,420,13,1612948930289,DUO_SUPPORT,NONE
17,KR,4987003820,360,420,13,1612792305449,DUO_CARRY,BOTTOM
18,KR,4986934799,36,420,13,1612790607001,NONE,JUNGLE
19,KR,4985170707,222,420,13,1612723866548,DUO_CARRY,BOTTOM
20,KR,4978943544,429,420,13,1612546132311,DUO_CARRY,BOTTOM
21,KR,4978870794,222,420,13,1612544758397,DUO,NONE
22,KR,4957860471,360,420,13,1611842000122,DUO_SUPPORT,NONE
23,KR,4957609355,145,420,13,1611839507687,DUO,NONE
24,KR,4957558165,235,420,13,1611836979329,DUO_CARRY,BOTTOM
25,KR,4957358080,360,420,13,1611834158934,DUO_CARRY,BOTTOM
26,KR,4957372241,523,420,13,1611832563654,DUO_CARRY,BOTTOM
27,KR,4957016412,360,420,13,1611830789857,DUO,NONE
28,KR,4956907489,145,420,13,1611827774327,DUO,BOTTOM
29,KR,4956766322,498,420,13,1611819970992,DUO_CARRY,BOTTOM
