,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4846608188,516,420,13,1607880456869,DUO_SUPPORT,NONE
1,KR,4846566184,62,420,13,1607878647735,SOLO,TOP
2,KR,4846622447,266,420,13,1607876891317,DUO_SUPPORT,NONE
3,KR,4846550738,164,420,13,1607875480565,DUO_SUPPORT,NONE
4,KR,4846356552,126,420,13,1607873470938,SOLO,TOP
5,KR,4846342963,85,420,13,1607871974283,DUO,NONE
6,KR,4846194567,39,420,13,1607869111065,SOLO,TOP
7,KR,4846086173,58,420,13,1607866629625,DUO_SUPPORT,NONE
8,KR,4845997611,84,420,13,1607864423390,DUO,TOP
9,KR,4845991040,114,420,13,1607862610556,DUO_SUPPORT,NONE
10,KR,4845921734,41,420,13,1607860246211,SOLO,TOP
11,KR,4844229852,84,1300,13,1607798004920,DUO_SUPPORT,NONE
12,KR,4844341670,164,420,13,1607794136537,DUO,MID
13,KR,4844137619,84,420,13,1607791748800,SOLO,TOP
14,KR,4844092629,126,420,13,1607789728231,SOLO,TOP
15,KR,4843856797,266,420,13,1607787753457,SOLO,TOP
16,KR,4843831000,266,420,13,1607785870607,DUO_SUPPORT,NONE
17,KR,4843653700,24,420,13,1607783687210,SOLO,TOP
18,KR,4843607626,41,420,13,1607782219530,DUO_SUPPORT,NONE
19,KR,4842626624,126,420,13,1607761498974,SOLO,TOP
20,KR,4841479143,82,420,13,1607709314762,SOLO,TOP
21,KR,4841554346,114,420,13,1607707059756,NONE,JUNGLE
22,KR,4841490482,517,420,13,1607705045426,SOLO,MID
23,KR,4841435407,39,420,13,1607703307927,DUO_SUPPORT,NONE
24,KR,4841323282,164,420,13,1607699169373,SOLO,TOP
25,KR,4841175798,516,420,13,1607696830929,SOLO,TOP
26,KR,4841127093,245,420,13,1607694535667,DUO_SUPPORT,NONE
27,KR,4839310597,164,420,13,1607622056488,NONE,JUNGLE
28,KR,4839188572,126,420,13,1607620075859,DUO_SUPPORT,NONE
29,KR,4839183930,58,420,13,1607617029420,DUO_SUPPORT,NONE
