,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4847356213,25,450,13,1607931454168,DUO_SUPPORT,NONE
1,KR,4836354133,81,420,13,1607508273205,DUO_SUPPORT,NONE
2,KR,4836197852,523,420,13,1607505374098,DUO_CARRY,BOTTOM
3,KR,4836074217,22,420,13,1607499255992,DUO_SUPPORT,NONE
4,KR,4836100021,21,420,13,1607497533960,DUO,MID
5,KR,4834690042,266,420,13,1607429635097,DUO,TOP
6,KR,4834219540,81,420,13,1607422679245,DUO_SUPPORT,NONE
7,KR,4834203867,21,420,13,1607419960444,DUO_CARRY,BOTTOM
8,KR,4834144861,21,420,13,1607416091378,DUO_CARRY,BOTTOM
9,KR,4834037576,145,420,13,1607412502524,DUO_CARRY,BOTTOM
10,KR,4833974193,145,420,13,1607410313045,DUO,NONE
11,KR,4833807951,202,420,13,1607407482105,DUO_CARRY,BOTTOM
12,KR,4833166066,202,420,13,1607360573967,DUO_SUPPORT,NONE
13,KR,4833097951,21,420,13,1607355967952,DUO_SUPPORT,NONE
14,KR,4833103443,145,420,13,1607353935607,DUO_CARRY,BOTTOM
15,KR,4833027247,22,420,13,1607351676073,DUO_SUPPORT,NONE
16,KR,4832727297,22,420,13,1607347823502,DUO,TOP
17,KR,4832515547,145,420,13,1607344438952,DUO_CARRY,BOTTOM
18,KR,4832261011,21,420,13,1607335101309,DUO,NONE
19,KR,4832204845,202,420,13,1607332526342,DUO_CARRY,BOTTOM
20,KR,4832146398,202,420,13,1607328545382,DUO_CARRY,BOTTOM
21,KR,4832122222,202,420,13,1607326256549,DUO_CARRY,BOTTOM
22,KR,4822758383,145,420,13,1606990557525,DUO_SUPPORT,NONE
23,KR,4822747219,145,420,13,1606985382046,DUO_CARRY,BOTTOM
24,KR,4818436152,98,420,13,1606820962984,DUO,TOP
25,KR,4818282203,145,420,13,1606811165197,DUO_SUPPORT,NONE
26,KR,4818157345,81,420,13,1606808187187,DUO_CARRY,BOTTOM
27,KR,4818048146,145,420,13,1606804365271,DUO_CARRY,BOTTOM
28,KR,4816214107,145,420,13,1606726652333,NONE,JUNGLE
29,KR,4816027421,21,420,13,1606723763037,DUO_CARRY,BOTTOM
