,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848224146,236,1300,13,1607951400254,DUO,NONE
1,KR,4848104313,61,420,13,1607948754226,SOLO,MID
2,KR,4848004137,245,420,13,1607945799693,SOLO,MID
3,KR,4847493943,517,420,13,1607934479101,SOLO,MID
4,KR,4847333253,96,430,13,1607930036311,DUO,MID
5,KR,4847175768,34,420,13,1607926542575,SOLO,MID
6,KR,4845746879,69,420,13,1607856611614,DUO_SUPPORT,NONE
7,KR,4845690366,517,420,13,1607854281497,SOLO,MID
8,KR,4845641476,245,420,13,1607851999748,SOLO,MID
9,KR,4845482543,236,420,13,1607848941607,DUO_SUPPORT,NONE
10,KR,4845190822,84,420,13,1607845495212,DUO_CARRY,MID
11,KR,4844887234,246,420,13,1607841663143,SOLO,MID
12,KR,4843457393,517,420,13,1607779452403,SOLO,MID
13,KR,4843480177,517,420,13,1607777688815,DUO_SUPPORT,NONE
14,KR,4843412809,43,420,13,1607775751106,DUO_SUPPORT,NONE
15,KR,4840257574,84,420,13,1607679087897,SOLO,MID
16,KR,4840313040,105,420,13,1607677594345,DUO_SUPPORT,NONE
17,KR,4840085431,517,420,13,1607670339574,SOLO,MID
18,KR,4839912642,163,1300,13,1607660200241,DUO,NONE
19,KR,4836939138,84,420,13,1607520488775,DUO,MID
20,KR,4836922770,39,420,13,1607518471540,DUO,MID
21,KR,4835979555,517,420,13,1607497266035,DUO_SUPPORT,NONE
22,KR,4835991588,69,420,13,1607493653922,DUO,MID
23,KR,4835754954,161,450,13,1607484106846,DUO_SUPPORT,NONE
24,KR,4834745495,517,420,13,1607431581500,SOLO,TOP
25,KR,4834426427,517,420,13,1607428362692,SOLO,MID
26,KR,4834308555,39,420,13,1607425970522,NONE,JUNGLE
27,KR,4834332101,238,450,13,1607423594023,DUO_SUPPORT,NONE
28,KR,4834147844,517,420,13,1607417532022,DUO_SUPPORT,NONE
29,KR,4832726495,13,420,13,1607347533945,DUO_CARRY,MID
