,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4976096085,39,420,13,1612467116720,SOLO,TOP
1,KR,4975343696,164,420,13,1612437739411,DUO_SUPPORT,MID
2,KR,4969950022,164,420,13,1612251288735,SOLO,TOP
3,KR,4955823087,164,420,13,1611774246347,SOLO,TOP
4,KR,4901453132,126,420,13,1609948279516,SOLO,TOP
5,KR,4901326621,58,420,13,1609945660595,DUO,TOP
6,KR,4901302059,164,420,13,1609944088040,DUO_SUPPORT,NONE
7,KR,4901181245,13,420,13,1609940836225,SOLO,TOP
8,KR,4901091723,164,420,13,1609938267940,SOLO,TOP
9,KR,4900889364,164,420,13,1609934702383,SOLO,TOP
10,KR,4893373257,126,420,13,1609652713881,SOLO,TOP
11,KR,4893237014,164,420,13,1609649996232,NONE,JUNGLE
12,KR,4893251714,164,420,13,1609647812180,NONE,JUNGLE
13,KR,4893149458,164,420,13,1609646963069,DUO,NONE
14,KR,4892795724,58,420,13,1609609273434,DUO,MID
15,KR,4892751299,104,420,13,1609606949460,NONE,JUNGLE
16,KR,4892605733,21,420,13,1609604832683,SOLO,BOTTOM
17,KR,4890713420,164,420,13,1609562492140,SOLO,TOP
18,KR,4890589611,84,420,13,1609560115451,SOLO,TOP
19,KR,4890205908,41,420,13,1609523774890,SOLO,TOP
20,KR,4890029469,164,420,13,1609519861437,SOLO,TOP
21,KR,4890102159,126,420,13,1609517639259,DUO_CARRY,MID
22,KR,4889976409,39,420,13,1609515839667,SOLO,TOP
23,KR,4889970815,126,420,13,1609514076255,SOLO,TOP
24,KR,4889731953,126,420,13,1609511462976,SOLO,TOP
25,KR,4884358315,84,420,13,1609328664692,SOLO,TOP
26,KR,4884372071,84,420,13,1609326855620,DUO,NONE
27,KR,4882805169,80,420,13,1609264458249,SOLO,MID
28,KR,4857882308,266,420,13,1608351914232,SOLO,TOP
29,KR,4846247841,164,420,13,1607870483909,DUO_SUPPORT,NONE
