,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4991018716,68,420,13,1612939168615,NONE,JUNGLE
1,KR,4991030521,81,420,13,1612936598099,NONE,JUNGLE
2,KR,4990874634,120,420,13,1612934344483,NONE,JUNGLE
3,KR,4972233439,141,420,13,1612334326008,NONE,JUNGLE
4,KR,4972138205,234,420,13,1612332181289,NONE,JUNGLE
5,KR,4972135211,104,420,13,1612330966137,DUO_SUPPORT,NONE
6,KR,4949328167,76,420,13,1611560033210,NONE,JUNGLE
7,KR,4949281994,120,420,13,1611557218581,NONE,JUNGLE
8,KR,4949253169,76,420,13,1611554648306,NONE,JUNGLE
9,KR,4949137319,163,420,13,1611552137025,NONE,JUNGLE
10,KR,4946969522,163,420,13,1611480360055,DUO_SUPPORT,NONE
11,KR,4945567181,76,420,13,1611426310626,NONE,JUNGLE
12,KR,4944845047,523,420,13,1611413039207,DUO_CARRY,BOTTOM
13,KR,4943960120,64,420,13,1611393950137,NONE,JUNGLE
14,KR,4943631220,163,420,13,1611391348942,NONE,JUNGLE
15,KR,4942719225,131,450,13,1611372570678,DUO_SUPPORT,TOP
16,KR,4942735741,163,420,13,1611371178947,DUO_SUPPORT,NONE
17,KR,4942334934,64,420,13,1611340566342,NONE,JUNGLE
18,KR,4941815529,76,420,13,1611325816738,NONE,JUNGLE
19,KR,4940747544,76,420,13,1611306742863,NONE,JUNGLE
20,KR,4940568644,76,420,13,1611303485820,NONE,JUNGLE
21,KR,4938055432,76,420,13,1611223948196,DUO_SUPPORT,NONE
22,KR,4938041682,163,420,13,1611222514413,DUO_SUPPORT,NONE
23,KR,4937552755,76,420,13,1611202904397,NONE,JUNGLE
24,KR,4937448936,163,420,13,1611200930629,NONE,JUNGLE
25,KR,4937393666,163,420,13,1611197681419,NONE,JUNGLE
26,KR,4936598498,163,420,13,1611157263478,NONE,JUNGLE
27,KR,4936603918,412,420,13,1611155704839,DUO_SUPPORT,BOTTOM
28,KR,4936447721,57,420,13,1611153751319,DUO_SUPPORT,NONE
29,KR,4936463845,76,420,13,1611152691409,DUO_SUPPORT,NONE
