,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4997123202,876,900,13,1613120439938,DUO,NONE
1,KR,4996996948,76,900,13,1613118727867,DUO_CARRY,MID
2,KR,4994505068,103,900,13,1613040454236,DUO_SUPPORT,NONE
3,KR,4991733894,85,900,13,1612956014710,DUO_SUPPORT,NONE
4,KR,4991529152,245,900,13,1612954479501,DUO_SUPPORT,NONE
5,KR,4991546099,62,900,13,1612953710691,DUO,NONE
6,KR,4991542108,523,900,13,1612952548178,DUO,NONE
7,KR,4991378328,104,430,13,1612951161080,DUO_SUPPORT,NONE
8,KR,4991403084,234,450,13,1612949485537,DUO_SUPPORT,NONE
9,KR,4991390086,114,450,13,1612948554413,DUO,NONE
10,KR,4975984250,777,420,13,1612457787186,SOLO,MID
11,KR,4976000749,104,420,13,1612456093328,DUO_SUPPORT,NONE
12,KR,4960816385,235,420,13,1611942509033,DUO_CARRY,BOTTOM
13,KR,4952336330,69,450,13,1611662029510,DUO,NONE
14,KR,4952401863,523,450,13,1611661089030,DUO,NONE
15,KR,4952238596,163,450,13,1611660228499,DUO_SUPPORT,NONE
16,KR,4942345078,164,420,13,1611340704501,SOLO,TOP
17,KR,4936830960,104,420,13,1611163120485,DUO_SUPPORT,NONE
18,KR,4924193314,145,420,13,1610740200067,DUO_CARRY,BOTTOM
19,KR,4924057923,145,420,13,1610735233805,DUO_CARRY,BOTTOM
20,KR,4924043666,523,420,13,1610732811671,DUO_CARRY,BOTTOM
21,KR,4923896581,875,420,13,1610729577220,DUO_SUPPORT,NONE
22,KR,4923793980,145,420,13,1610725598157,DUO_CARRY,BOTTOM
23,KR,4921613211,145,420,13,1610657051845,DUO_CARRY,BOTTOM
24,KR,4921591634,236,420,13,1610653884469,DUO_CARRY,BOTTOM
25,KR,4921580177,523,420,13,1610651444393,DUO_CARRY,BOTTOM
26,KR,4921575311,145,420,13,1610648514567,DUO_CARRY,BOTTOM
27,KR,4921542524,360,420,13,1610646182307,DUO,NONE
28,KR,4921427355,145,420,13,1610642772930,DUO_CARRY,BOTTOM
29,KR,4921317145,145,420,13,1610638691321,DUO_SUPPORT,NONE
