,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848653731,516,420,13,1607968720850,SOLO,TOP
1,KR,4848601448,266,420,13,1607966108496,DUO_SUPPORT,NONE
2,KR,4848557087,236,420,13,1607964109302,SOLO,MID
3,KR,4848515029,126,420,13,1607962457885,SOLO,MID
4,KR,4848522357,517,420,13,1607961156018,DUO,NONE
5,KR,4848446681,134,420,13,1607958978380,SOLO,MID
6,KR,4848289063,80,420,13,1607955692596,SOLO,MID
7,KR,4846577920,266,420,13,1607879964715,SOLO,TOP
8,KR,4846564958,235,420,13,1607877912943,DUO_SUPPORT,BOTTOM
9,KR,4846438313,163,420,13,1607874704202,DUO_CARRY,MID
10,KR,4845978573,59,450,13,1607864427486,NONE,JUNGLE
11,KR,4845869733,235,420,13,1607862131057,DUO_SUPPORT,BOTTOM
12,KR,4845882138,235,420,13,1607860234480,DUO_SUPPORT,BOTTOM
13,KR,4844964563,235,1300,13,1607843522907,DUO_SUPPORT,NONE
14,KR,4844887234,134,420,13,1607841663143,SOLO,MID
15,KR,4844881460,134,420,13,1607839944075,SOLO,MID
16,KR,4844816215,38,420,13,1607838406701,DUO_SUPPORT,NONE
17,KR,4844719908,142,420,13,1607836294197,DUO_SUPPORT,NONE
18,KR,4844713649,777,420,13,1607833952402,SOLO,MID
19,KR,4844231398,142,420,13,1607793181346,SOLO,MID
20,KR,4844093850,134,420,13,1607790186324,SOLO,MID
21,KR,4843856797,235,420,13,1607787753457,DUO_SUPPORT,BOTTOM
22,KR,4843729567,79,420,13,1607785540153,SOLO,MID
23,KR,4841721348,126,420,13,1607710952967,DUO,TOP
24,KR,4841507790,142,420,13,1607708771321,SOLO,MID
25,KR,4841472954,7,420,13,1607705985896,SOLO,MID
26,KR,4841428113,236,420,13,1607704277727,SOLO,MID
27,KR,4841392704,34,420,13,1607702165613,DUO,MID
28,KR,4841277180,126,420,13,1607700233065,DUO_SUPPORT,MID
29,KR,4837292616,3,420,13,1607536429392,SOLO,MID
