,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4992756415,36,420,13,1612974091568,NONE,JUNGLE
1,KR,4992720495,36,420,13,1612972330063,NONE,JUNGLE
2,KR,4992641257,72,420,13,1612970275893,NONE,JUNGLE
3,KR,4991482554,77,420,13,1612952617187,NONE,JUNGLE
4,KR,4991464185,72,420,13,1612950351614,DUO_SUPPORT,NONE
5,KR,4978226073,77,420,13,1612531158309,DUO_SUPPORT,NONE
6,KR,4975676607,77,420,13,1612448356460,NONE,JUNGLE
7,KR,4973556672,77,420,13,1612366969782,NONE,JUNGLE
8,KR,4973409337,77,420,13,1612364453058,NONE,JUNGLE
9,KR,4973328864,77,420,13,1612361649742,NONE,JUNGLE
10,KR,4973282072,77,420,13,1612359901570,NONE,JUNGLE
11,KR,4973231337,77,420,13,1612357511526,NONE,JUNGLE
12,KR,4973111287,77,420,13,1612355006118,NONE,JUNGLE
13,KR,4972558570,36,420,13,1612348223274,NONE,JUNGLE
14,KR,4972523791,72,420,13,1612346318395,NONE,JUNGLE
15,KR,4972309650,2,420,13,1612340523560,NONE,JUNGLE
16,KR,4972324131,77,420,13,1612338309578,NONE,JUNGLE
17,KR,4972219676,77,420,13,1612336658861,NONE,JUNGLE
18,KR,4972215429,77,420,13,1612335062839,NONE,JUNGLE
19,KR,4972077603,77,420,13,1612331809060,NONE,JUNGLE
20,KR,4971361182,235,420,13,1612287504570,DUO_SUPPORT,NONE
21,KR,4971277814,235,420,13,1612285631298,DUO_SUPPORT,NONE
22,KR,4971246028,412,420,13,1612284206425,DUO_SUPPORT,NONE
23,KR,4971192001,77,420,13,1612282110623,NONE,JUNGLE
24,KR,4971135758,72,420,13,1612279986962,NONE,JUNGLE
25,KR,4970314251,77,420,13,1612266579423,DUO_SUPPORT,NONE
26,KR,4963768423,147,420,13,1612026260621,DUO_SUPPORT,BOTTOM
27,KR,4960214689,235,420,13,1611928174839,DUO,BOTTOM
28,KR,4953457624,360,430,13,1611692458800,DUO_CARRY,BOTTOM
29,KR,4953387801,360,430,13,1611690220508,DUO_CARRY,BOTTOM
