,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4995273668,150,420,13,1613051891462,SOLO,TOP
1,KR,4976016891,114,420,13,1612459369404,DUO_CARRY,TOP
2,KR,4975845199,79,420,13,1612450809526,SOLO,TOP
3,KR,4975695246,114,420,13,1612448004609,NONE,JUNGLE
4,KR,4975616035,150,420,13,1612445845401,SOLO,TOP
5,KR,4975455285,150,420,13,1612441020382,DUO_SUPPORT,NONE
6,KR,4975355784,117,420,13,1612438379239,NONE,JUNGLE
7,KR,4974415548,50,450,13,1612415337241,DUO_SUPPORT,NONE
8,KR,4973743518,41,420,13,1612375367682,SOLO,TOP
9,KR,4973741489,41,420,13,1612373906625,DUO_SUPPORT,NONE
10,KR,4973608236,41,420,13,1612371891523,SOLO,TOP
11,KR,4973634361,85,420,13,1612370034918,SOLO,TOP
12,KR,4973631005,516,420,13,1612368539320,DUO_SUPPORT,NONE
13,KR,4973526077,150,420,13,1612366662971,SOLO,TOP
14,KR,4973315664,79,420,13,1612360846699,DUO_SUPPORT,NONE
15,KR,4973025838,13,420,13,1612353577225,SOLO,TOP
16,KR,4972958849,126,420,13,1612351604169,SOLO,TOP
17,KR,4972467995,126,420,13,1612344105192,SOLO,TOP
18,KR,4972124278,58,420,13,1612330560879,SOLO,TOP
19,KR,4971978681,114,420,13,1612328019832,SOLO,TOP
20,KR,4972032937,79,420,13,1612325402487,SOLO,TOP
21,KR,4971280625,13,420,13,1612286224701,SOLO,MID
22,KR,4971247029,150,420,13,1612284663951,DUO_SUPPORT,NONE
23,KR,4971183981,150,420,13,1612282840314,SOLO,TOP
24,KR,4971128878,126,420,13,1612281100172,SOLO,TOP
25,KR,4971100417,164,420,13,1612278215675,SOLO,TOP
26,KR,4970980834,114,420,13,1612275784311,NONE,JUNGLE
27,KR,4970812277,41,420,13,1612273788031,DUO,TOP
28,KR,4970615971,517,420,13,1612272058260,SOLO,TOP
29,KR,4970439106,58,420,13,1612270480450,DUO_SUPPORT,NONE
