,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4768038275,38,420,13,1604748565771,SOLO,MID
1,KR,4767623664,777,420,13,1604738482859,DUO_SUPPORT,TOP
2,KR,4767514754,7,420,13,1604735821858,SOLO,MID
3,KR,4767448428,84,420,13,1604734041610,SOLO,MID
4,KR,4767383523,91,420,13,1604732465405,DUO_SUPPORT,NONE
5,KR,4767177428,29,900,13,1604727252963,DUO,MID
6,KR,4763830205,105,900,13,1604576728831,DUO_SUPPORT,NONE
7,KR,4763108878,145,420,13,1604565107496,DUO_CARRY,BOTTOM
8,KR,4763123089,38,420,13,1604562575213,SOLO,MID
9,KR,4752396113,84,420,13,1604126762244,DUO_SUPPORT,NONE
10,KR,4752390535,157,420,13,1604125101090,DUO_SUPPORT,NONE
11,KR,4752284306,81,900,13,1604123054049,DUO_SUPPORT,NONE
12,KR,4750440664,91,420,13,1604048628621,SOLO,MID
13,KR,4750251479,38,420,13,1604045044244,SOLO,MID
14,KR,4749925910,38,420,13,1604042966564,SOLO,MID
15,KR,4749838897,517,420,13,1604040351168,SOLO,MID
16,KR,4749814093,246,420,13,1604038296148,SOLO,MID
17,KR,4749820955,29,900,13,1604036748965,DUO_SUPPORT,NONE
18,KR,4748840012,7,420,13,1603972530536,SOLO,MID
19,KR,4748402373,38,420,13,1603970152535,SOLO,MID
20,KR,4748332614,84,420,13,1603966911961,SOLO,MID
21,KR,4748213765,145,420,13,1603963250358,DUO_SUPPORT,NONE
22,KR,4748136684,246,420,13,1603960383767,SOLO,MID
23,KR,4748160356,145,420,13,1603957687799,DUO_CARRY,BOTTOM
24,KR,4748015572,39,420,13,1603955477185,DUO_CARRY,MID
25,KR,4747929847,246,420,13,1603952827616,SOLO,MID
26,KR,4746195850,238,900,13,1603867664914,DUO_SUPPORT,TOP
27,KR,4746183302,81,900,13,1603866497819,DUO_SUPPORT,NONE
28,KR,4746088213,29,900,13,1603863923647,DUO_SUPPORT,NONE
29,KR,4746073889,29,900,13,1603861572792,NONE,JUNGLE
