,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850153592,518,420,13,1608032991354,SOLO,TOP
1,KR,4850040875,67,420,13,1608029065973,SOLO,TOP
2,KR,4849834208,80,420,13,1608026918348,SOLO,TOP
3,KR,4849608089,68,420,13,1608024133539,SOLO,TOP
4,KR,4840191183,41,420,13,1607672635847,SOLO,TOP
5,KR,4840085431,67,420,13,1607670339574,SOLO,TOP
6,KR,4840037953,236,420,13,1607667579343,SOLO,TOP
7,KR,4839954982,85,420,13,1607665816286,SOLO,TOP
8,KR,4840010842,80,420,13,1607664328741,DUO_SUPPORT,NONE
9,KR,4839895131,78,420,13,1607661478503,SOLO,TOP
10,KR,4818265204,1,420,13,1606812208740,SOLO,TOP
11,KR,4818251483,67,420,13,1606810164382,SOLO,TOP
12,KR,4818135896,266,420,13,1606807309975,SOLO,TOP
13,KR,4818133208,126,420,13,1606806015241,DUO_SUPPORT,NONE
14,KR,4817996820,875,420,13,1606803212909,DUO_SUPPORT,BOTTOM
15,KR,4818013002,517,420,13,1606801422917,SOLO,TOP
16,KR,4808724108,164,420,13,1606461254369,SOLO,TOP
17,KR,4808628822,266,420,13,1606459070101,SOLO,TOP
18,KR,4808604865,516,420,13,1606457189924,DUO,MID
19,KR,4808611981,517,420,13,1606455725437,DUO_SUPPORT,NONE
20,KR,4808278195,98,420,13,1606453764676,SOLO,TOP
21,KR,4799364376,58,420,13,1606048497332,DUO_SUPPORT,NONE
22,KR,4799198927,58,420,13,1606046672413,DUO,TOP
23,KR,4799210661,150,420,13,1606044670382,SOLO,TOP
24,KR,4799092303,360,420,13,1606041972427,DUO_CARRY,BOTTOM
25,KR,4799006365,85,420,13,1606040232697,SOLO,TOP
26,KR,4798919917,81,420,13,1606038349062,DUO_CARRY,BOTTOM
27,KR,4798952870,114,420,13,1606036080506,SOLO,TOP
28,KR,4790551537,875,420,13,1605682387826,SOLO,TOP
29,KR,4790487367,517,420,13,1605680384872,DUO_SUPPORT,NONE
