,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4842283498,84,420,13,1607750641311,SOLO,MID
1,KR,4841825052,39,420,13,1607715571652,SOLO,TOP
2,KR,4841860165,41,420,13,1607711390029,SOLO,TOP
3,KR,4841479371,84,420,13,1607709455977,SOLO,TOP
4,KR,4841554419,236,420,13,1607707148150,SOLO,TOP
5,KR,4841439611,875,420,13,1607704942952,SOLO,TOP
6,KR,4841423328,875,420,13,1607702492592,SOLO,TOP
7,KR,4840412466,29,450,13,1607681231487,DUO_SUPPORT,TOP
8,KR,4837306977,39,420,13,1607542488632,SOLO,TOP
9,KR,4837265488,61,420,13,1607539765095,SOLO,MID
10,KR,4837293492,164,420,13,1607537501487,SOLO,TOP
11,KR,4837228501,68,420,13,1607533212921,DUO_SUPPORT,TOP
12,KR,4837206472,84,420,13,1607531592198,DUO_SUPPORT,NONE
13,KR,4837162561,84,420,13,1607529408898,DUO,MID
14,KR,4833254359,126,420,13,1607371305173,DUO_SUPPORT,NONE
15,KR,4833302004,164,420,13,1607368870115,SOLO,TOP
16,KR,4833300857,39,420,13,1607366868762,DUO_SUPPORT,NONE
17,KR,4833199954,85,420,13,1607365043385,DUO,TOP
18,KR,4833137363,58,420,13,1607356087002,SOLO,TOP
19,KR,4833063293,114,420,13,1607353412773,SOLO,TOP
20,KR,4833027247,85,420,13,1607351676073,DUO_SUPPORT,NONE
21,KR,4833023553,875,420,13,1607350358771,DUO_SUPPORT,NONE
22,KR,4819609583,164,430,13,1606873985210,SOLO,MID
23,KR,4819348086,114,420,13,1606847305098,SOLO,TOP
24,KR,4819335336,164,420,13,1606844434782,SOLO,TOP
25,KR,4818410845,58,420,13,1606815632568,SOLO,TOP
26,KR,4818340097,68,420,13,1606814036491,DUO_SUPPORT,NONE
27,KR,4817304300,85,420,13,1606760075210,SOLO,TOP
28,KR,4817341217,245,420,13,1606758115206,SOLO,MID
29,KR,4817179783,68,420,13,1606755465794,NONE,JUNGLE
