,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4995910322,96,420,13,1613072225499,DUO_CARRY,BOTTOM
1,KR,4995828410,96,420,13,1613070361521,DUO_CARRY,BOTTOM
2,KR,4995854623,81,420,13,1613068060650,DUO_CARRY,BOTTOM
3,KR,4993060050,67,420,13,1612984058254,DUO_CARRY,BOTTOM
4,KR,4992927722,201,420,13,1612981907448,DUO_SUPPORT,MID
5,KR,4992921939,235,420,13,1612978957166,DUO_CARRY,BOTTOM
6,KR,4992777517,360,420,13,1612977167297,DUO_SUPPORT,NONE
7,KR,4992812105,96,420,13,1612975472150,DUO_CARRY,BOTTOM
8,KR,4988413862,360,420,13,1612853090072,DUO_CARRY,BOTTOM
9,KR,4986691445,157,420,13,1612785628646,DUO_SUPPORT,NONE
10,KR,4986535208,101,900,13,1612781420621,DUO_SUPPORT,NONE
11,KR,4986480121,360,420,13,1612779952049,DUO_SUPPORT,NONE
12,KR,4986006600,67,420,13,1612768994271,DUO_CARRY,BOTTOM
13,KR,4985777394,360,420,13,1612766203444,DUO_CARRY,BOTTOM
14,KR,4985616459,15,420,13,1612762199760,SOLO,MID
15,KR,4985600087,79,420,13,1612759630596,DUO_SUPPORT,BOTTOM
16,KR,4985495195,360,420,13,1612757564354,DUO_CARRY,BOTTOM
17,KR,4985084927,15,420,13,1612719729425,DUO_CARRY,BOTTOM
18,KR,4985059105,15,420,13,1612717219698,DUO_CARRY,BOTTOM
19,KR,4985063765,15,420,13,1612715259206,DUO_CARRY,BOTTOM
20,KR,4984990928,67,420,13,1612713707805,DUO_CARRY,BOTTOM
21,KR,4984926591,51,420,13,1612712435566,DUO_SUPPORT,NONE
22,KR,4984809405,523,420,13,1612710432572,DUO_CARRY,BOTTOM
23,KR,4984812580,79,420,13,1612708863198,DUO_SUPPORT,NONE
24,KR,4984753853,53,420,13,1612707140938,DUO_SUPPORT,NONE
25,KR,4984442556,104,420,13,1612702956881,NONE,JUNGLE
26,KR,4984242674,104,420,13,1612701139971,NONE,JUNGLE
27,KR,4982082118,104,420,13,1612635763912,NONE,JUNGLE
28,KR,4982057388,412,420,13,1612634044807,DUO_SUPPORT,BOTTOM
29,KR,4981981725,21,420,13,1612631474042,DUO,BOTTOM
