,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4990150760,875,420,13,1612891401156,DUO,TOP
1,KR,4990046912,236,420,13,1612889521527,SOLO,TOP
2,KR,4989956277,126,420,13,1612885916163,DUO,MID
3,KR,4989847509,126,420,13,1612883417045,SOLO,TOP
4,KR,4987607489,133,420,13,1612805451154,DUO_CARRY,TOP
5,KR,4987663706,875,420,13,1612804029362,DUO_SUPPORT,NONE
6,KR,4987650433,150,420,13,1612802403152,DUO,NONE
7,KR,4987426510,126,420,13,1612800603839,SOLO,TOP
8,KR,4987400724,126,420,13,1612798725107,DUO,MID
9,KR,4987233886,126,420,13,1612796871214,SOLO,TOP
10,KR,4985088450,164,420,13,1612722012098,DUO_SUPPORT,NONE
11,KR,4985084927,517,420,13,1612719729425,SOLO,TOP
12,KR,4985141284,150,420,13,1612718140403,DUO_SUPPORT,NONE
13,KR,4985035952,39,420,13,1612715814290,SOLO,TOP
14,KR,4984913379,126,420,13,1612711542421,SOLO,TOP
15,KR,4974746672,266,420,13,1612427878097,DUO_SUPPORT,NONE
16,KR,4973709205,79,420,13,1612381217681,SOLO,TOP
17,KR,4973737715,79,420,13,1612379418147,DUO,NONE
18,KR,4973765261,79,420,13,1612376952523,SOLO,TOP
19,KR,4973742504,79,420,13,1612374627272,SOLO,TOP
20,KR,4973589492,79,420,13,1612372567341,SOLO,TOP
21,KR,4973529157,79,420,13,1612367795241,DUO_SUPPORT,NONE
22,KR,4972405349,126,420,13,1612342837356,SOLO,TOP
23,KR,4972020313,18,420,13,1612324065296,SOLO,TOP
24,KR,4968963562,150,420,13,1612200007725,SOLO,TOP
25,KR,4966629609,126,420,13,1612126621604,NONE,JUNGLE
26,KR,4966488820,79,420,13,1612114155883,SOLO,TOP
27,KR,4966571911,150,420,13,1612111458210,DUO_SUPPORT,NONE
28,KR,4966398498,266,420,13,1612109320098,SOLO,TOP
29,KR,4963946656,39,420,13,1612037484529,DUO,MID
