,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850443328,120,420,13,1608039160961,NONE,JUNGLE
1,KR,4850314818,76,420,13,1608036649951,NONE,JUNGLE
2,KR,4850250010,203,420,13,1608034915622,NONE,JUNGLE
3,KR,4848636556,141,420,13,1607971186632,NONE,JUNGLE
4,KR,4848654621,245,420,13,1607969698918,NONE,JUNGLE
5,KR,4848652301,203,420,13,1607967411278,NONE,JUNGLE
6,KR,4848650053,163,420,13,1607965580418,NONE,JUNGLE
7,KR,4848556137,120,420,13,1607963592489,NONE,JUNGLE
8,KR,4848370115,64,420,13,1607956060617,NONE,JUNGLE
9,KR,4848119329,876,420,13,1607950149757,NONE,JUNGLE
10,KR,4848029703,163,420,13,1607947492410,NONE,JUNGLE
11,KR,4847298604,203,420,13,1607932069697,NONE,JUNGLE
12,KR,4846565575,114,420,13,1607878283395,SOLO,TOP
13,KR,4846571014,203,420,13,1607875824241,NONE,JUNGLE
14,KR,4846352346,76,420,13,1607871763219,NONE,JUNGLE
15,KR,4846204587,245,420,13,1607869164411,NONE,JUNGLE
16,KR,4844127847,76,420,13,1607791816588,NONE,JUNGLE
17,KR,4841472954,64,420,13,1607705985896,NONE,JUNGLE
18,KR,4841428113,163,420,13,1607704277727,NONE,JUNGLE
19,KR,4841392704,163,420,13,1607702165613,NONE,JUNGLE
20,KR,4840755141,245,420,13,1607685663884,NONE,JUNGLE
21,KR,4830589338,246,450,13,1607260709265,DUO,MID
22,KR,4830604827,7,450,13,1607259526359,DUO_SUPPORT,NONE
23,KR,4830519832,145,450,13,1607258240401,DUO,NONE
24,KR,4821179153,121,420,13,1606918153420,DUO_SUPPORT,NONE
25,KR,4821180826,517,420,13,1606915701352,NONE,JUNGLE
26,KR,4821113061,145,420,13,1606913406131,DUO_CARRY,BOTTOM
27,KR,4821045057,141,420,13,1606911044193,NONE,JUNGLE
28,KR,4820970699,145,420,13,1606909553875,DUO_SUPPORT,NONE
29,KR,4818379039,104,420,13,1606818897662,NONE,JUNGLE
