,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850431925,104,450,13,1608038616986,DUO_SUPPORT,NONE
1,KR,4850287595,63,450,13,1608037101993,DUO_SUPPORT,MID
2,KR,4839993888,164,420,13,1607665514185,SOLO,TOP
3,KR,4828743574,245,450,13,1607188490199,DUO_SUPPORT,NONE
4,KR,4828760724,202,450,13,1607187180541,DUO_SUPPORT,NONE
5,KR,4828587768,67,450,13,1607185882276,DUO_SUPPORT,NONE
6,KR,4822820582,24,420,13,1606987018109,DUO_SUPPORT,NONE
7,KR,4822677509,164,420,13,1606985245478,DUO_SUPPORT,NONE
8,KR,4822742634,24,420,13,1606982996558,SOLO,TOP
9,KR,4822599902,84,420,13,1606981381006,SOLO,TOP
10,KR,4820652692,62,420,13,1606896902734,SOLO,TOP
11,KR,4820268160,164,420,13,1606894576091,SOLO,TOP
12,KR,4820344163,517,420,13,1606892823007,SOLO,TOP
13,KR,4811315233,517,420,13,1606554099778,DUO,TOP
14,KR,4811069554,266,420,13,1606552006532,SOLO,TOP
15,KR,4811054474,164,420,13,1606550035394,SOLO,TOP
16,KR,4810958488,236,420,13,1606548376568,SOLO,MID
17,KR,4810964462,164,420,13,1606546961361,DUO_SUPPORT,NONE
18,KR,4808842762,164,420,13,1606465497748,SOLO,TOP
19,KR,4808779458,875,420,13,1606464071467,DUO_SUPPORT,NONE
20,KR,4808745307,24,420,13,1606462028690,SOLO,TOP
21,KR,4808781708,517,420,13,1606460699582,DUO_SUPPORT,NONE
22,KR,4808609573,517,420,13,1606459428633,DUO_SUPPORT,NONE
23,KR,4808606878,164,420,13,1606458186870,DUO_SUPPORT,NONE
24,KR,4807103703,164,420,13,1606393300590,SOLO,TOP
25,KR,4806677136,84,420,13,1606378231587,SOLO,TOP
26,KR,4806710013,24,420,13,1606375252705,DUO_SUPPORT,NONE
27,KR,4806386574,517,420,13,1606373595388,SOLO,TOP
28,KR,4776330563,517,430,13,1605083442507,SOLO,TOP
29,KR,4776218232,517,430,13,1605082205015,DUO_SUPPORT,NONE
