,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4998151059,89,430,13,1613137272396,DUO_SUPPORT,BOTTOM
1,KR,4992586902,360,420,13,1612971404562,DUO_CARRY,BOTTOM
2,KR,4992530809,412,420,13,1612968005362,DUO_SUPPORT,BOTTOM
3,KR,4992432193,3,420,13,1612966320823,SOLO,MID
4,KR,4992271602,80,420,13,1612964224499,DUO,MID
5,KR,4992077724,4,420,13,1612961490943,SOLO,MID
6,KR,4991919397,875,420,13,1612959735118,DUO_SUPPORT,BOTTOM
7,KR,4991881741,54,420,13,1612957872022,DUO_CARRY,MID
8,KR,4989371520,245,420,13,1612873350916,SOLO,MID
9,KR,4989286220,4,420,13,1612872140096,DUO,NONE
10,KR,4989157331,236,420,13,1612869913961,DUO,NONE
11,KR,4989028510,18,420,13,1612867612984,DUO_SUPPORT,NONE
12,KR,4989001010,18,420,13,1612865215433,DUO,TOP
13,KR,4988754129,58,420,13,1612862787688,DUO,BOTTOM
14,KR,4988577444,245,420,13,1612860476253,SOLO,TOP
15,KR,4987753944,142,420,13,1612810084765,SOLO,MID
16,KR,4987731378,236,420,13,1612807845522,SOLO,MID
17,KR,4987667798,61,420,13,1612806388578,DUO,NONE
18,KR,4987664521,38,420,13,1612804473952,SOLO,MID
19,KR,4987600064,236,420,13,1612801966516,SOLO,MID
20,KR,4987444952,61,420,13,1612800207135,SOLO,MID
21,KR,4987237745,235,420,13,1612797914973,SOLO,TOP
22,KR,4987046334,236,420,13,1612792875394,SOLO,MID
23,KR,4986914131,18,420,13,1612790409851,SOLO,MID
24,KR,4986583451,236,420,13,1612783615536,DUO_SUPPORT,NONE
25,KR,4986536973,268,420,13,1612782039406,SOLO,MID
26,KR,4986389340,234,420,13,1612779661332,DUO,TOP
27,KR,4986421954,61,420,13,1612777332021,SOLO,MID
28,KR,4985268982,120,440,13,1612740115306,NONE,JUNGLE
29,KR,4985209410,64,440,13,1612738393881,NONE,JUNGLE
