,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850410026,84,420,13,1608038080783,DUO,MID
1,KR,4850071234,61,420,13,1608029424300,DUO,MID
2,KR,4849776149,39,420,13,1608027199421,SOLO,TOP
3,KR,4849603359,55,420,13,1608022158076,SOLO,MID
4,KR,4849437703,777,420,13,1608016198450,DUO,TOP
5,KR,4849384398,517,420,13,1608014430549,NONE,JUNGLE
6,KR,4849287479,236,420,13,1608011518273,SOLO,MID
7,KR,4848084793,84,420,13,1607948738465,SOLO,MID
8,KR,4847962195,236,420,13,1607944989432,DUO,MID
9,KR,4847945046,142,420,13,1607943165218,DUO_CARRY,MID
10,KR,4847600024,142,420,13,1607936635141,DUO_SUPPORT,NONE
11,KR,4846440529,134,420,13,1607871412189,DUO,TOP
12,KR,4846196620,236,420,13,1607869812294,SOLO,MID
13,KR,4846149501,69,420,13,1607867962322,DUO_CARRY,MID
14,KR,4846130367,246,420,13,1607865152637,SOLO,MID
15,KR,4846022261,236,420,13,1607863054328,DUO,MID
16,KR,4843656782,84,420,13,1607784606426,SOLO,MID
17,KR,4843648316,84,420,13,1607782770022,SOLO,MID
18,KR,4843612012,84,420,13,1607780814129,SOLO,MID
19,KR,4843521310,236,420,13,1607778045379,SOLO,MID
20,KR,4843390643,7,420,13,1607775179642,SOLO,MID
21,KR,4841479143,84,420,13,1607709314762,SOLO,MID
22,KR,4841554346,39,420,13,1607707059756,SOLO,MID
23,KR,4841357615,7,420,13,1607703777292,DUO,NONE
24,KR,4841349322,142,420,13,1607701449373,DUO,TOP
25,KR,4841105643,134,420,13,1607694093828,SOLO,MID
26,KR,4841035065,142,420,13,1607691493757,SOLO,MID
27,KR,4840914431,134,420,13,1607688544711,DUO_SUPPORT,NONE
28,KR,4839839510,268,420,13,1607663409745,DUO_SUPPORT,NONE
29,KR,4839300403,142,420,13,1607621730025,SOLO,MID
