,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4987434230,777,420,13,1612799876012,SOLO,MID
1,KR,4987208605,61,420,13,1612798135661,DUO_SUPPORT,NONE
2,KR,4987231035,145,420,13,1612796125013,DUO,BOTTOM
3,KR,4987150634,360,420,13,1612793889674,DUO_CARRY,BOTTOM
4,KR,4985163844,498,420,13,1612719923976,DUO_CARRY,BOTTOM
5,KR,4985141284,80,420,13,1612718140403,DUO_SUPPORT,NONE
6,KR,4984996808,234,420,13,1612715887765,SOLO,MID
7,KR,4984992901,134,420,13,1612714440161,DUO,NONE
8,KR,4984606724,777,420,13,1612705620616,DUO_SUPPORT,NONE
9,KR,4984491824,134,420,13,1612703068351,DUO,MID
10,KR,4984171650,112,420,13,1612700833283,SOLO,MID
11,KR,4984010183,147,420,13,1612698480601,DUO_SUPPORT,BOTTOM
12,KR,4983808994,777,420,13,1612696166149,SOLO,MID
13,KR,4983685534,112,420,13,1612693071237,SOLO,MID
14,KR,4983083450,234,420,13,1612679029044,DUO,TOP
15,KR,4983004699,84,420,13,1612677084105,SOLO,MID
16,KR,4982787456,202,420,13,1612675177604,DUO_CARRY,BOTTOM
17,KR,4982538935,61,420,13,1612672606101,SOLO,MID
18,KR,4982533357,777,420,13,1612670812071,DUO,NONE
19,KR,4981988350,245,420,13,1612633888401,SOLO,MID
20,KR,4982000766,517,420,13,1612631237804,DUO,TOP
21,KR,4981924530,246,420,13,1612629411677,DUO,MID
22,KR,4981870611,112,420,13,1612628151667,DUO_SUPPORT,NONE
23,KR,4981756431,3,420,13,1612625136727,DUO,TOP
24,KR,4981583510,112,420,13,1612622436981,DUO_CARRY,MID
25,KR,4981291637,234,420,13,1612616717989,SOLO,MID
26,KR,4981110257,777,420,13,1612614467802,SOLO,MID
27,KR,4980728972,142,420,13,1612612224646,SOLO,MID
28,KR,4980710135,236,420,13,1612610156964,DUO_CARRY,MID
29,KR,4980621456,61,420,13,1612608225129,DUO_SUPPORT,NONE
