,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4847069908,142,420,13,1607923899240,DUO,NONE
1,KR,4846781646,555,420,13,1607883485630,DUO_SUPPORT,BOTTOM
2,KR,4846633798,3,420,13,1607877742738,DUO_CARRY,MID
3,KR,4846560014,245,420,13,1607875243280,SOLO,MID
4,KR,4846089366,84,420,13,1607867506212,SOLO,MID
5,KR,4845731116,145,420,13,1607854641455,DUO_SUPPORT,NONE
6,KR,4845238504,101,420,13,1607847724351,DUO,MID
7,KR,4845251647,777,420,13,1607845779643,SOLO,MID
8,KR,4844998663,777,420,13,1607844951427,DUO,NONE
9,KR,4844410116,126,420,13,1607798929437,SOLO,MID
10,KR,4844346084,101,420,13,1607796738027,SOLO,MID
11,KR,4843880989,777,420,13,1607785981297,SOLO,MID
12,KR,4843680163,777,420,13,1607782898442,SOLO,MID
13,KR,4842262457,236,420,13,1607750182684,DUO_SUPPORT,NONE
14,KR,4841810876,84,420,13,1607711107856,SOLO,MID
15,KR,4841557916,112,420,13,1607709097422,SOLO,MID
16,KR,4841523727,523,420,13,1607706688505,DUO_CARRY,BOTTOM
17,KR,4841368892,777,420,13,1607704445156,DUO,MID
18,KR,4841324484,34,420,13,1607699490811,SOLO,MID
19,KR,4841204540,126,420,13,1607696570111,SOLO,MID
20,KR,4839990803,101,420,13,1607664125441,SOLO,MID
21,KR,4839281290,236,420,13,1607622385583,SOLO,MID
22,KR,4839188311,142,420,13,1607619918345,DUO,MID
23,KR,4839235216,145,420,13,1607618104472,SOLO,BOTTOM
24,KR,4839231238,236,420,13,1607615820132,SOLO,MID
25,KR,4839116370,112,420,13,1607613476118,DUO_SUPPORT,NONE
26,KR,4837300866,145,420,13,1607534944715,DUO_SUPPORT,NONE
27,KR,4837207767,112,420,13,1607532515100,SOLO,MID
28,KR,4837108366,245,420,13,1607527452090,SOLO,MID
29,KR,4837063442,145,420,13,1607525256627,DUO,MID
