,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4996375555,498,420,13,1613104763471,DUO_CARRY,BOTTOM
1,KR,4996191711,498,430,13,1613099177848,DUO_CARRY,BOTTOM
2,KR,4996027488,498,430,13,1613096422119,DUO_CARRY,BOTTOM
3,KR,4995886831,498,430,13,1613083391632,DUO,MID
4,KR,4995954681,498,850,13,1613081347012,DUO_SUPPORT,NONE
5,KR,4995678326,523,850,13,1613063794100,DUO_SUPPORT,NONE
6,KR,4995734462,523,850,13,1613062658439,DUO,NONE
7,KR,4995711736,222,850,13,1613061438445,DUO_SUPPORT,NONE
8,KR,4995618487,360,850,13,1613060309705,DUO_SUPPORT,NONE
9,KR,4993415908,222,430,13,1613012024568,DUO_CARRY,BOTTOM
10,KR,4993186688,15,420,13,1613006526064,DUO_CARRY,BOTTOM
11,KR,4993024706,58,430,13,1612987622858,SOLO,TOP
12,KR,4990249016,21,430,13,1612913506529,DUO_SUPPORT,BOTTOM
13,KR,4989383325,145,420,13,1612873743423,DUO_CARRY,BOTTOM
14,KR,4988409095,18,420,13,1612854631931,DUO_CARRY,BOTTOM
15,KR,4988117333,145,420,13,1612843303152,DUO,NONE
16,KR,4979182376,360,430,13,1612573974855,DUO_CARRY,BOTTOM
17,KR,4979075218,523,430,13,1612565719885,DUO_CARRY,BOTTOM
18,KR,4973850469,145,420,13,1612383206618,DUO_CARRY,BOTTOM
19,KR,4973673148,21,420,13,1612374879174,DUO_CARRY,BOTTOM
20,KR,4973588662,222,420,13,1612372080624,DUO_CARRY,BOTTOM
21,KR,4973661660,145,420,13,1612368909066,DUO_CARRY,BOTTOM
22,KR,4972318709,222,420,13,1612340107888,DUO_CARRY,BOTTOM
23,KR,4970138163,202,420,13,1612261924277,DUO_CARRY,BOTTOM
24,KR,4969387000,523,420,13,1612242235398,DUO_CARRY,BOTTOM
25,KR,4969334467,523,420,13,1612240596499,DUO_CARRY,BOTTOM
26,KR,4969046929,523,420,13,1612216541929,DUO_CARRY,BOTTOM
27,KR,4969004971,523,420,13,1612211080130,DUO_CARRY,BOTTOM
28,KR,4968984099,145,430,13,1612208925753,DUO_CARRY,BOTTOM
29,KR,4957880493,145,420,13,1611844085598,DUO_CARRY,BOTTOM
