,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4998124773,120,900,13,1613137918066,DUO_SUPPORT,NONE
1,KR,4998150464,91,900,13,1613137115265,DUO,NONE
2,KR,4997440295,61,900,13,1613127914945,DUO_CARRY,TOP
3,KR,4997345596,61,900,13,1613126711766,DUO_SUPPORT,NONE
4,KR,4997179869,498,900,13,1613124861562,DUO,MID
5,KR,4985082770,141,420,13,1612718551165,NONE,JUNGLE
6,KR,4985007715,163,420,13,1612716343941,NONE,JUNGLE
7,KR,4982136971,875,420,13,1612639244944,SOLO,MID
8,KR,4982072717,163,420,13,1612635980925,NONE,JUNGLE
9,KR,4982066390,876,420,13,1612633779549,NONE,JUNGLE
10,KR,4981837684,876,420,13,1612627615378,NONE,JUNGLE
11,KR,4981676379,2,420,13,1612624903250,DUO_SUPPORT,NONE
12,KR,4981482798,76,420,13,1612620420364,NONE,JUNGLE
13,KR,4977293453,876,420,13,1612515494621,NONE,JUNGLE
14,KR,4976136437,876,420,13,1612468162668,NONE,JUNGLE
15,KR,4976095886,163,420,13,1612466824469,DUO_SUPPORT,NONE
16,KR,4976092032,236,420,13,1612462821489,SOLO,MID
17,KR,4976017116,163,420,13,1612459517019,DUO_SUPPORT,NONE
18,KR,4976022089,876,420,13,1612456879973,NONE,JUNGLE
19,KR,4975883567,77,420,13,1612453286714,NONE,JUNGLE
20,KR,4975843850,163,420,13,1612450402114,NONE,JUNGLE
21,KR,4974749891,163,420,13,1612429134142,NONE,JUNGLE
22,KR,4974724740,163,420,13,1612427028106,NONE,JUNGLE
23,KR,4974486244,76,420,13,1612419862759,DUO_SUPPORT,NONE
24,KR,4974409888,58,420,13,1612417331480,SOLO,TOP
25,KR,4974465137,77,420,13,1612415372536,DUO_SUPPORT,NONE
26,KR,4974430848,163,420,13,1612413421877,DUO_SUPPORT,NONE
27,KR,4973689679,876,420,13,1612381959218,NONE,JUNGLE
28,KR,4973707785,163,420,13,1612379341639,NONE,JUNGLE
29,KR,4973706480,76,420,13,1612377914132,DUO_SUPPORT,NONE
