,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850422841,163,420,13,1608038900557,DUO_SUPPORT,NONE
1,KR,4849513206,246,450,13,1608018118227,DUO_SUPPORT,NONE
2,KR,4848557835,421,420,13,1607964617386,NONE,JUNGLE
3,KR,4848506643,163,420,13,1607963142886,DUO_SUPPORT,NONE
4,KR,4848502395,421,420,13,1607960921904,NONE,JUNGLE
5,KR,4848400188,104,420,13,1607956241710,NONE,JUNGLE
6,KR,4848250774,121,420,13,1607953113645,NONE,JUNGLE
7,KR,4847640706,421,420,13,1607937032570,NONE,JUNGLE
8,KR,4847356213,12,450,13,1607931454168,DUO_SUPPORT,NONE
9,KR,4846599750,126,450,13,1607881453875,DUO_SUPPORT,NONE
10,KR,4846645847,84,430,13,1607879395250,SOLO,TOP
11,KR,4846614372,8,430,13,1607877704888,DUO_CARRY,TOP
12,KR,4846600154,79,430,13,1607875402516,DUO_SUPPORT,BOTTOM
13,KR,4846351229,119,430,13,1607871228453,DUO,TOP
14,KR,4846226209,236,430,13,1607869681440,SOLO,TOP
15,KR,4846069373,163,420,13,1607867407071,NONE,JUNGLE
16,KR,4846064125,163,420,13,1607865988888,DUO_SUPPORT,NONE
17,KR,4846022261,245,420,13,1607863054328,NONE,JUNGLE
18,KR,4845915307,163,420,13,1607861183541,NONE,JUNGLE
19,KR,4845829751,163,420,13,1607859722531,NONE,JUNGLE
20,KR,4845765192,141,420,13,1607858330270,DUO_SUPPORT,NONE
21,KR,4845716222,98,420,13,1607856055052,NONE,JUNGLE
22,KR,4845691625,64,450,13,1607854521718,DUO,TOP
23,KR,4845646524,107,450,13,1607853446706,DUO,NONE
24,KR,4844400394,202,420,13,1607799107346,DUO_CARRY,BOTTOM
25,KR,4844346084,98,420,13,1607796738027,NONE,JUNGLE
26,KR,4844305088,246,1300,13,1607795264721,DUO_SUPPORT,NONE
27,KR,4844272466,79,1300,13,1607793759957,DUO_SUPPORT,NONE
28,KR,4843525413,202,430,13,1607778987730,DUO_CARRY,BOTTOM
29,KR,4841814564,39,1300,13,1607714696980,DUO,NONE
