,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4849160868,360,420,13,1608003251316,DUO_CARRY,BOTTOM
1,KR,4848641119,360,420,13,1607966431498,DUO_CARRY,BOTTOM
2,KR,4848556137,360,420,13,1607963592489,DUO_CARRY,BOTTOM
3,KR,4848493847,163,420,13,1607961575675,NONE,JUNGLE
4,KR,4848428087,236,420,13,1607959292863,DUO_SUPPORT,NONE
5,KR,4848402008,21,420,13,1607956859713,DUO_CARRY,BOTTOM
6,KR,4847336301,21,420,13,1607931420550,DUO_SUPPORT,NONE
7,KR,4842138485,145,420,13,1607744247256,DUO_CARRY,BOTTOM
8,KR,4841511654,163,420,13,1607705679176,NONE,JUNGLE
9,KR,4841435060,21,420,13,1607703119992,DUO_CARRY,BOTTOM
10,KR,4841268089,202,420,13,1607700461548,DUO_CARRY,BOTTOM
11,KR,4841237767,21,420,13,1607697494197,DUO_CARRY,BOTTOM
12,KR,4839506856,360,420,13,1607656694510,DUO_CARRY,MID
13,KR,4839301323,203,420,13,1607622598748,NONE,JUNGLE
14,KR,4839227435,141,420,13,1607619585319,NONE,JUNGLE
15,KR,4839183930,360,420,13,1607617029420,DUO_SUPPORT,NONE
16,KR,4839127338,360,420,13,1607613937919,DUO_CARRY,BOTTOM
17,KR,4839092584,203,420,13,1607611686647,NONE,JUNGLE
18,KR,4837248735,360,420,13,1607533396643,DUO,MID
19,KR,4837186086,21,420,13,1607531396232,SOLO,BOTTOM
20,KR,4837067943,58,420,13,1607527161242,DUO,TOP
21,KR,4837072771,360,420,13,1607525039393,DUO_CARRY,BOTTOM
22,KR,4835204041,202,420,13,1607447425892,DUO_CARRY,BOTTOM
23,KR,4835191214,145,420,13,1607445427265,DUO_CARRY,BOTTOM
24,KR,4835127703,236,420,13,1607443628528,DUO_CARRY,BOTTOM
25,KR,4835122593,360,420,13,1607441026330,DUO_CARRY,BOTTOM
26,KR,4835007311,202,420,13,1607438542856,DUO_SUPPORT,NONE
27,KR,4833510199,145,420,13,1607397184445,DUO_CARRY,BOTTOM
28,KR,4833244575,202,420,13,1607360913425,DUO_CARRY,BOTTOM
29,KR,4833172893,145,420,13,1607358434396,DUO_CARRY,BOTTOM
