,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4846770835,246,420,13,1607882625985,SOLO,MID
1,KR,4846615973,58,420,13,1607878863753,SOLO,MID
2,KR,4846641627,142,420,13,1607876926387,DUO_SUPPORT,NONE
3,KR,4846376334,38,420,13,1607873561066,SOLO,MID
4,KR,4846381208,61,420,13,1607871548066,SOLO,MID
5,KR,4846177048,245,420,13,1607869902366,DUO_SUPPORT,NONE
6,KR,4846149501,875,420,13,1607867962322,DUO_CARRY,MID
7,KR,4846123782,236,420,13,1607866091584,SOLO,MID
8,KR,4845974207,163,420,13,1607863438101,SOLO,MID
9,KR,4845906822,34,420,13,1607861568882,SOLO,MID
10,KR,4845769425,112,420,13,1607859481268,SOLO,MID
11,KR,4844679930,236,420,13,1607836186441,SOLO,MID
12,KR,4844289546,61,420,13,1607798357276,SOLO,MID
13,KR,4844236718,240,420,13,1607796106887,DUO,TOP
14,KR,4844311390,112,420,13,1607793428444,SOLO,MID
15,KR,4844057784,142,420,13,1607791539351,SOLO,MID
16,KR,4844091742,84,420,13,1607789431559,SOLO,MID
17,KR,4843833718,126,420,13,1607786745254,DUO,MID
18,KR,4843672294,3,420,13,1607783400541,DUO,MID
19,KR,4843640403,84,420,13,1607780667671,SOLO,MID
20,KR,4842239727,134,420,13,1607749304082,DUO_SUPPORT,NONE
21,KR,4841162669,134,420,13,1607695901258,SOLO,MID
22,KR,4839990803,34,420,13,1607664125441,SOLO,MID
23,KR,4839335854,245,420,13,1607628660617,DUO_SUPPORT,NONE
24,KR,4839294610,266,420,13,1607626090031,SOLO,TOP
25,KR,4839321474,517,420,13,1607623033927,DUO,MID
26,KR,4839248879,875,420,13,1607620996442,SOLO,MID
27,KR,4839157478,517,420,13,1607618970046,SOLO,MID
28,KR,4839183880,34,420,13,1607617007612,DUO_SUPPORT,NONE
29,KR,4839134160,34,420,13,1607612502658,SOLO,MID
