,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4995849816,21,450,13,1613072336497,DUO,TOP
1,KR,4995858294,498,450,13,1613070886161,DUO,TOP
2,KR,4995798203,113,450,13,1613069634826,DUO_SUPPORT,NONE
3,KR,4995855467,1,450,13,1613068497666,DUO_SUPPORT,NONE
4,KR,4995804504,266,450,13,1613067038849,DUO_SUPPORT,TOP
5,KR,4995780453,202,450,13,1613064744689,DUO_SUPPORT,NONE
6,KR,4995676528,54,450,13,1613063054924,SOLO,BOTTOM
7,KR,4992512700,37,900,13,1612968208065,DUO_SUPPORT,NONE
8,KR,4984873430,161,450,13,1612711316236,DUO_SUPPORT,NONE
9,KR,4984797856,39,450,13,1612709868985,SOLO,TOP
10,KR,4984842352,360,450,13,1612708762688,DUO,NONE
11,KR,4948295043,111,420,13,1611507015774,DUO_SUPPORT,BOTTOM
12,KR,4936844283,111,420,13,1611165336327,DUO,NONE
13,KR,4936870852,526,420,13,1611163497325,DUO_SUPPORT,BOTTOM
14,KR,4934526254,147,420,13,1611080014824,DUO_SUPPORT,NONE
15,KR,4934485643,412,420,13,1611078203399,DUO_SUPPORT,BOTTOM
16,KR,4934397089,79,420,13,1611074062623,DUO_SUPPORT,BOTTOM
17,KR,4931641703,79,450,13,1610975327064,DUO_SUPPORT,MID
18,KR,4931387288,498,450,13,1610973938095,DUO_SUPPORT,NONE
19,KR,4914382914,25,420,13,1610391080658,DUO_SUPPORT,NONE
20,KR,4914359331,89,420,13,1610389110028,DUO_SUPPORT,BOTTOM
21,KR,4914354449,89,420,13,1610385585730,DUO_SUPPORT,BOTTOM
22,KR,4911887406,89,420,13,1610298668871,DUO_SUPPORT,BOTTOM
23,KR,4911973751,89,420,13,1610297432844,DUO_SUPPORT,NONE
24,KR,4911884280,89,420,13,1610297017023,DUO,NONE
25,KR,4911829135,89,420,13,1610295098399,DUO_SUPPORT,BOTTOM
26,KR,4911791078,89,420,13,1610291916909,DUO_SUPPORT,BOTTOM
27,KR,4908798860,89,420,13,1610203242320,DUO_SUPPORT,BOTTOM
28,KR,4908369909,117,420,13,1610198977193,DUO_SUPPORT,BOTTOM
29,KR,4908281673,89,420,13,1610196652615,DUO_SUPPORT,BOTTOM
