,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850405275,875,420,13,1608039588415,DUO_SUPPORT,BOTTOM
1,KR,4850350210,68,420,13,1608037834466,DUO_SUPPORT,BOTTOM
2,KR,4850293012,89,420,13,1608035936825,DUO_SUPPORT,MID
3,KR,4850183107,875,420,13,1608032941275,SOLO,BOTTOM
4,KR,4848652301,875,420,13,1607967411278,DUO_SUPPORT,BOTTOM
5,KR,4848539776,89,420,13,1607965466328,DUO_SUPPORT,BOTTOM
6,KR,4839450750,81,440,13,1607652112875,DUO_CARRY,BOTTOM
7,KR,4839358356,202,440,13,1607650382508,DUO_CARRY,BOTTOM
8,KR,4839435785,526,440,13,1607649017641,DUO_SUPPORT,NONE
9,KR,4837390252,235,450,13,1607550756126,DUO_SUPPORT,MID
10,KR,4836984262,58,440,13,1607522032921,NONE,JUNGLE
11,KR,4836858015,110,440,13,1607519990646,SOLO,MID
12,KR,4836829651,202,440,13,1607517540838,DUO_CARRY,BOTTOM
13,KR,4835341260,32,450,13,1607459381573,DUO_SUPPORT,MID
14,KR,4835330992,18,450,13,1607457868344,DUO,TOP
15,KR,4835158071,67,440,13,1607450284067,DUO,NONE
16,KR,4835165935,134,440,13,1607448216147,DUO,TOP
17,KR,4835241769,350,440,13,1607446441561,DUO_SUPPORT,BOTTOM
18,KR,4835099736,64,440,13,1607444505021,NONE,JUNGLE
19,KR,4835097417,81,440,13,1607443169334,DUO_SUPPORT,NONE
20,KR,4835074909,236,440,13,1607441425994,SOLO,TOP
21,KR,4821864183,76,450,13,1606943834333,DUO,MID
22,KR,4821873796,114,450,13,1606942590208,DUO_SUPPORT,NONE
23,KR,4821913090,429,450,13,1606941322965,DUO,NONE
24,KR,4821086289,236,440,13,1606914382931,SOLO,MID
25,KR,4821009644,236,440,13,1606912391721,SOLO,MID
26,KR,4820964026,68,440,13,1606910689917,DUO_SUPPORT,BOTTOM
27,KR,4820929861,164,440,13,1606909231444,DUO_SUPPORT,NONE
28,KR,4820884462,33,440,13,1606907387512,NONE,JUNGLE
29,KR,4820809436,64,440,13,1606905355454,NONE,JUNGLE
