,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4074913674,29,920,13,1578591796895,DUO,NONE
1,KR,4074881231,523,430,13,1578589523272,SOLO,MID
2,KR,4074864586,429,420,13,1578586834664,DUO_CARRY,BOTTOM
3,KR,4074804365,21,420,13,1578586242328,DUO,NONE
4,KR,4074768401,141,420,13,1578584200769,DUO_SUPPORT,NONE
5,KR,4074741704,22,420,13,1578581812232,DUO_CARRY,BOTTOM
6,KR,4074704019,236,420,13,1578579577673,DUO_CARRY,BOTTOM
7,KR,4073320375,202,420,13,1578508033860,DUO_CARRY,BOTTOM
8,KR,4073227949,240,420,13,1578506048251,DUO,TOP
9,KR,4073233698,14,420,13,1578503423404,SOLO,TOP
10,KR,4073144348,67,420,13,1578498947899,DUO_CARRY,BOTTOM
11,KR,4073128013,202,420,13,1578496746271,DUO_CARRY,BOTTOM
12,KR,4073061504,157,420,13,1578494572268,DUO_CARRY,BOTTOM
13,KR,4072204553,202,450,13,1578475706610,DUO_SUPPORT,NONE
14,KR,4072270146,39,420,13,1578474311486,DUO_CARRY,BOTTOM
15,KR,4071827465,110,420,13,1578456606659,DUO,MID
16,KR,4071804229,523,450,13,1578454442020,DUO,NONE
17,KR,4071332840,235,420,13,1578420840779,DUO_CARRY,BOTTOM
18,KR,4071317054,134,420,13,1578418436636,NONE,JUNGLE
19,KR,4071303317,202,420,13,1578415744696,DUO,MID
20,KR,4071280452,154,420,13,1578414002210,NONE,JUNGLE
21,KR,4071241829,235,420,13,1578411610421,DUO_SUPPORT,BOTTOM
22,KR,4070992038,235,420,13,1578402676945,DUO_CARRY,BOTTOM
23,KR,4070903603,498,420,13,1578400385709,SOLO,MID
24,KR,4070786009,145,420,13,1578398201861,DUO_SUPPORT,MID
25,KR,4070667009,110,420,13,1578395845994,DUO_CARRY,BOTTOM
26,KR,4070619138,202,420,13,1578394120089,DUO_CARRY,BOTTOM
27,KR,4070632328,141,420,13,1578392312262,DUO_SUPPORT,NONE
28,KR,4070047407,202,420,13,1578378553186,DUO_CARRY,BOTTOM
29,KR,4070024270,266,420,13,1578377003560,DUO_SUPPORT,NONE
