,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4988127055,89,420,13,1612843278866,DUO_SUPPORT,BOTTOM
1,KR,4987085201,235,420,13,1612794709172,DUO_SUPPORT,BOTTOM
2,KR,4985101246,12,420,13,1612717870026,DUO_SUPPORT,NONE
3,KR,4985035952,147,420,13,1612715814290,DUO_SUPPORT,BOTTOM
4,KR,4983500538,235,420,13,1612687208472,DUO_SUPPORT,BOTTOM
5,KR,4983346312,235,420,13,1612684303539,DUO_SUPPORT,BOTTOM
6,KR,4983107763,526,420,13,1612680121632,DUO_SUPPORT,BOTTOM
7,KR,4982076891,79,420,13,1612638598883,DUO_SUPPORT,BOTTOM
8,KR,4982081263,111,420,13,1612635308721,DUO_SUPPORT,NONE
9,KR,4982045412,526,420,13,1612633142492,NONE,JUNGLE
10,KR,4981980167,89,420,13,1612630942858,DUO_SUPPORT,BOTTOM
11,KR,4981778625,147,420,13,1612627683732,DUO_SUPPORT,BOTTOM
12,KR,4981811222,526,420,13,1612626045692,DUO_SUPPORT,NONE
13,KR,4981731913,147,420,13,1612624141079,DUO_SUPPORT,BOTTOM
14,KR,4975893041,875,420,13,1612453141271,DUO_SUPPORT,BOTTOM
15,KR,4974486244,111,420,13,1612419862759,DUO_SUPPORT,NONE
16,KR,4974409888,147,420,13,1612417331480,DUO_SUPPORT,BOTTOM
17,KR,4974465137,235,420,13,1612415372536,DUO_SUPPORT,NONE
18,KR,4974430848,412,420,13,1612413421877,DUO_SUPPORT,NONE
19,KR,4973689679,147,420,13,1612381959218,DUO_SUPPORT,BOTTOM
20,KR,4973747732,875,420,13,1612379402041,DUO_SUPPORT,BOTTOM
21,KR,4973686224,80,420,13,1612377665501,DUO_SUPPORT,BOTTOM
22,KR,4973742590,89,420,13,1612374719057,DUO_SUPPORT,BOTTOM
23,KR,4973608636,235,420,13,1612372148782,DUO_SUPPORT,BOTTOM
24,KR,4973655938,412,420,13,1612370800625,DUO_SUPPORT,NONE
25,KR,4973489874,12,420,13,1612368030810,DUO_SUPPORT,BOTTOM
26,KR,4973471689,89,420,13,1612365130936,DUO_SUPPORT,BOTTOM
27,KR,4973143796,235,420,13,1612355672710,DUO_SUPPORT,TOP
28,KR,4972270916,12,420,13,1612337045355,DUO_SUPPORT,TOP
29,KR,4971289283,875,420,13,1612293764622,DUO_SUPPORT,BOTTOM
