,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4998063963,77,420,13,1613137658627,NONE,JUNGLE
1,KR,4997995625,36,420,13,1613136163648,NONE,JUNGLE
2,KR,4997444200,163,420,13,1613129070743,DUO_SUPPORT,NONE
3,KR,4997335754,234,420,13,1613126860970,NONE,JUNGLE
4,KR,4995811556,163,420,13,1613065650939,DUO_SUPPORT,NONE
5,KR,4995757011,79,420,13,1613063923460,NONE,JUNGLE
6,KR,4995751297,76,420,13,1613061759973,DUO_SUPPORT,NONE
7,KR,4995635764,79,420,13,1613059859076,NONE,JUNGLE
8,KR,4995590704,77,420,13,1613058172813,NONE,JUNGLE
9,KR,4995491033,234,420,13,1613055726782,NONE,JUNGLE
10,KR,4995433250,234,420,13,1613054149736,NONE,JUNGLE
11,KR,4995228708,163,420,13,1613050972250,NONE,JUNGLE
12,KR,4995035103,120,420,13,1613046016378,NONE,JUNGLE
13,KR,4994726514,2,420,13,1613043536629,NONE,JUNGLE
14,KR,4994740736,64,420,13,1613042136707,DUO_SUPPORT,NONE
15,KR,4994526203,234,420,13,1613040949175,DUO_SUPPORT,NONE
16,KR,4994386322,77,420,13,1613038190592,NONE,JUNGLE
17,KR,4994344817,234,420,13,1613035175901,NONE,JUNGLE
18,KR,4994185444,76,420,13,1613032462791,NONE,JUNGLE
19,KR,4994166141,234,420,13,1613030482108,NONE,JUNGLE
20,KR,4994082195,77,420,13,1613029215624,DUO_SUPPORT,NONE
21,KR,4993992005,876,420,13,1613026714713,NONE,JUNGLE
22,KR,4993893693,203,420,13,1613024610867,DUO_SUPPORT,NONE
23,KR,4993807519,2,420,13,1613022922122,NONE,JUNGLE
24,KR,4993729051,876,420,13,1613020651291,NONE,JUNGLE
25,KR,4992881590,64,420,13,1612978764935,NONE,JUNGLE
26,KR,4992793482,164,420,13,1612975857974,SOLO,TOP
27,KR,4992736708,77,420,13,1612973932830,DUO_SUPPORT,NONE
28,KR,4992586902,107,420,13,1612971404562,NONE,JUNGLE
29,KR,4992507587,77,420,13,1612969340202,NONE,JUNGLE
