,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848212747,79,420,13,1607951087263,SOLO,TOP
1,KR,4837742503,13,420,13,1607567252339,SOLO,MID
2,KR,4823895017,150,430,13,1607017662519,NONE,JUNGLE
3,KR,4763047366,79,420,13,1604559990549,SOLO,BOTTOM
4,KR,4762973239,79,420,13,1604557685235,NONE,JUNGLE
5,KR,4761118309,13,420,13,1604469667664,SOLO,TOP
6,KR,4760493198,54,420,13,1604430843548,SOLO,TOP
7,KR,4759931940,150,420,13,1604408172043,SOLO,TOP
8,KR,4759814783,79,420,13,1604406283463,DUO_SUPPORT,BOTTOM
9,KR,4758809926,43,420,13,1604380457209,DUO_SUPPORT,NONE
10,KR,4757980192,150,420,13,1604318925761,SOLO,TOP
11,KR,4757885597,150,420,13,1604317659108,DUO_SUPPORT,NONE
12,KR,4757058117,13,420,13,1604294482369,SOLO,TOP
13,KR,4747983853,80,420,13,1603954619611,DUO_SUPPORT,BOTTOM
14,KR,4745265399,150,420,13,1603811816055,SOLO,TOP
15,KR,4744042120,150,420,13,1603776091370,SOLO,TOP
16,KR,4742219244,150,420,13,1603695099582,SOLO,TOP
17,KR,4734960574,78,420,13,1603434102626,DUO_SUPPORT,BOTTOM
18,KR,4720867581,150,420,13,1602840903606,SOLO,TOP
19,KR,4720871165,79,420,13,1602838379651,SOLO,TOP
20,KR,4719799317,150,420,13,1602785474008,DUO,MID
21,KR,4719836845,420,420,13,1602783729961,DUO_CARRY,TOP
22,KR,4703587706,27,420,13,1602162506113,NONE,JUNGLE
23,KR,4703601310,74,420,13,1602160919368,SOLO,TOP
24,KR,4699742368,420,420,13,1601999015532,SOLO,TOP
25,KR,4699467048,420,420,13,1601996221026,SOLO,TOP
26,KR,4698374929,79,420,13,1601960387910,SOLO,TOP
27,KR,4696663456,420,420,13,1601884748445,SOLO,MID
28,KR,4696508691,517,420,13,1601882723426,DUO,TOP
29,KR,4696560015,80,420,13,1601879696340,DUO,MID
