,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4835320265,350,420,13,1607455823791,DUO_SUPPORT,BOTTOM
1,KR,4835179961,120,420,13,1607452807549,NONE,JUNGLE
2,KR,4835236441,202,420,13,1607450430144,DUO_CARRY,BOTTOM
3,KR,4834975917,54,420,13,1607437712670,SOLO,TOP
4,KR,4834928423,89,420,13,1607435669880,SOLO,BOTTOM
5,KR,4834870778,12,420,13,1607432953459,DUO_SUPPORT,BOTTOM
6,KR,4834744741,350,420,13,1607431362489,DUO_SUPPORT,NONE
7,KR,4834670656,236,420,13,1607429676133,DUO_SUPPORT,NONE
8,KR,4834420598,89,420,13,1607426395912,DUO_SUPPORT,TOP
9,KR,4834182423,350,420,13,1607419125380,DUO_SUPPORT,BOTTOM
10,KR,4834126015,40,420,13,1607416360902,DUO_SUPPORT,BOTTOM
11,KR,4834061513,350,420,13,1607413680106,DUO_SUPPORT,BOTTOM
12,KR,4834043530,89,420,13,1607410837102,SOLO,BOTTOM
13,KR,4833869856,350,420,13,1607408806417,DUO_SUPPORT,BOTTOM
14,KR,4833302004,350,420,13,1607368870115,SOLO,BOTTOM
15,KR,4833300857,350,420,13,1607366868762,DUO_SUPPORT,NONE
16,KR,4833270050,76,420,13,1607364522010,NONE,JUNGLE
17,KR,4833207510,350,420,13,1607362765162,DUO_SUPPORT,MID
18,KR,4833193750,350,420,13,1607359405634,DUO_SUPPORT,BOTTOM
19,KR,4833085112,89,420,13,1607354544366,DUO_SUPPORT,BOTTOM
20,KR,4833061940,12,420,13,1607352801111,DUO_SUPPORT,NONE
21,KR,4832915272,350,420,13,1607350299802,DUO_SUPPORT,BOTTOM
22,KR,4832727297,164,420,13,1607347823502,DUO_SUPPORT,BOTTOM
23,KR,4832203481,89,420,13,1607331825700,DUO_SUPPORT,NONE
24,KR,4831259941,497,420,13,1607283611827,DUO_SUPPORT,BOTTOM
25,KR,4831307447,497,420,13,1607280649156,DUO_SUPPORT,MID
26,KR,4831305960,412,420,13,1607278771353,DUO_SUPPORT,BOTTOM
27,KR,4830237659,25,420,13,1607248993768,DUO_SUPPORT,BOTTOM
28,KR,4828819958,54,420,13,1607193094435,SOLO,TOP
29,KR,4828767706,39,420,13,1607190928173,DUO_SUPPORT,NONE
