,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4735423490,236,440,13,1603443054028,DUO_SUPPORT,NONE
1,KR,4633962905,81,430,13,1599628818468,DUO_CARRY,BOTTOM
2,KR,4633799486,13,430,13,1599626847330,SOLO,TOP
3,KR,4633796638,3,450,13,1599625426475,DUO_SUPPORT,NONE
4,KR,4633639049,777,430,13,1599616117518,DUO_SUPPORT,NONE
5,KR,4370929415,126,430,13,1589161406570,SOLO,TOP
6,KR,4370916254,523,430,13,1589159282107,DUO_SUPPORT,NONE
7,KR,4370865604,523,430,13,1589157416477,DUO,MID
8,KR,4370902612,236,430,13,1589156047965,DUO_SUPPORT,NONE
9,KR,4365425449,429,430,13,1588992459945,SOLO,TOP
10,KR,4365229029,236,430,13,1588978150239,DUO_SUPPORT,NONE
11,KR,4365209015,236,430,13,1588976029312,DUO_SUPPORT,NONE
12,KR,4360617219,39,430,13,1588811553292,SOLO,TOP
13,KR,4360555930,236,430,13,1588809345399,DUO_CARRY,BOTTOM
14,KR,4360554571,236,430,13,1588807344257,DUO_CARRY,BOTTOM
15,KR,4360573391,236,430,13,1588805607174,DUO_CARRY,BOTTOM
16,KR,4360463040,429,430,13,1588789504404,DUO,TOP
17,KR,4358203256,429,430,13,1588722207827,SOLO,TOP
18,KR,4358142844,429,430,13,1588720611716,DUO_SUPPORT,NONE
19,KR,4358210737,429,430,13,1588718912213,SOLO,TOP
20,KR,4348891621,516,430,13,1588419454169,NONE,JUNGLE
21,KR,4344690159,266,430,13,1588287462027,SOLO,TOP
22,KR,4344618277,27,430,13,1588284289362,SOLO,TOP
23,KR,4344597399,202,430,13,1588282470967,DUO_CARRY,BOTTOM
24,KR,4343731773,523,430,13,1588249095540,SOLO,TOP
25,KR,4343261370,15,430,13,1588243791873,DUO_CARRY,BOTTOM
26,KR,4343182795,518,430,13,1588241356652,DUO_SUPPORT,TOP
27,KR,4343042736,523,430,13,1588238298246,NONE,JUNGLE
28,KR,4341223059,523,430,13,1588167926890,SOLO,TOP
29,KR,4341099433,523,430,13,1588166749683,DUO_SUPPORT,NONE
