,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4978836084,64,450,13,1612543378915,DUO_SUPPORT,MID
1,KR,4978782042,76,450,13,1612542029986,DUO_SUPPORT,NONE
2,KR,4961443043,76,430,13,1611977969619,NONE,JUNGLE
3,KR,4961319661,104,430,13,1611976081908,NONE,JUNGLE
4,KR,4952901497,497,450,13,1611667633689,DUO,NONE
5,KR,4946950432,76,430,13,1611477813427,NONE,JUNGLE
6,KR,4946843687,104,430,13,1611476121153,NONE,JUNGLE
7,KR,4946777106,76,430,13,1611474698886,DUO_SUPPORT,NONE
8,KR,4946607751,104,430,13,1611472316482,NONE,JUNGLE
9,KR,4946592096,76,430,13,1611470922713,DUO_SUPPORT,NONE
10,KR,4946403895,76,430,13,1611468911640,NONE,JUNGLE
11,KR,4946195698,76,430,13,1611467048437,NONE,JUNGLE
12,KR,4945890448,76,430,13,1611457644175,DUO_SUPPORT,NONE
13,KR,4945787581,104,430,13,1611455419375,NONE,JUNGLE
14,KR,4945850948,104,430,13,1611452596890,NONE,JUNGLE
15,KR,4945729458,45,450,13,1611451096322,DUO_SUPPORT,NONE
16,KR,4945748115,51,450,13,1611450161295,DUO,NONE
17,KR,4942559164,7,450,13,1611367647731,DUO_SUPPORT,NONE
18,KR,4942567676,84,450,13,1611366734121,DUO_SUPPORT,NONE
19,KR,4942487089,245,450,13,1611365631173,DUO_SUPPORT,NONE
20,KR,4942544485,76,450,13,1611364428937,DUO_SUPPORT,NONE
21,KR,4942572897,238,450,13,1611363259528,DUO_SUPPORT,NONE
22,KR,4942016180,64,450,13,1611330094707,DUO,TOP
23,KR,4941909057,76,430,13,1611328459503,DUO_SUPPORT,BOTTOM
24,KR,4941857476,64,430,13,1611326138748,DUO_SUPPORT,BOTTOM
25,KR,4941699819,7,450,13,1611324504363,DUO_SUPPORT,NONE
26,KR,4941680091,104,450,13,1611322596329,DUO,TOP
27,KR,4941613580,84,450,13,1611321459599,DUO_SUPPORT,NONE
28,KR,4941352193,81,450,13,1611319191643,DUO_SUPPORT,MID
29,KR,4941176521,43,450,13,1611317984518,DUO_SUPPORT,NONE
