,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850410961,876,420,13,1608038391393,NONE,JUNGLE
1,KR,4850229650,163,420,13,1608035125725,DUO_SUPPORT,NONE
2,KR,4850153592,104,420,13,1608032991354,NONE,JUNGLE
3,KR,4849799722,163,420,13,1608028653365,DUO_SUPPORT,NONE
4,KR,4849547584,2,420,13,1608020239304,NONE,JUNGLE
5,KR,4849346574,2,420,13,1608011707247,NONE,JUNGLE
6,KR,4849283550,163,420,13,1608009808797,NONE,JUNGLE
7,KR,4849189295,2,420,13,1608007788369,NONE,JUNGLE
8,KR,4848498749,163,420,13,1607964299038,NONE,JUNGLE
9,KR,4848535740,163,420,13,1607962973010,DUO_SUPPORT,NONE
10,KR,4848461652,104,420,13,1607960415369,DUO_SUPPORT,NONE
11,KR,4848255562,2,420,13,1607954519349,NONE,JUNGLE
12,KR,4848128810,2,420,13,1607949974386,NONE,JUNGLE
13,KR,4848029703,2,420,13,1607947492410,NONE,JUNGLE
14,KR,4847962195,163,420,13,1607944989432,NONE,JUNGLE
15,KR,4847863954,163,420,13,1607942309135,NONE,JUNGLE
16,KR,4847648526,2,420,13,1607940216568,NONE,JUNGLE
17,KR,4847761670,2,420,13,1607938026932,DUO_SUPPORT,NONE
18,KR,4847139571,163,420,13,1607924183499,DUO_SUPPORT,NONE
19,KR,4847058227,163,420,13,1607922994467,DUO,NONE
20,KR,4846191376,163,420,13,1607868097752,NONE,JUNGLE
21,KR,4846070739,2,420,13,1607865183526,DUO_SUPPORT,NONE
22,KR,4845928484,163,420,13,1607862051345,NONE,JUNGLE
23,KR,4845882138,2,420,13,1607860234480,NONE,JUNGLE
24,KR,4845668296,2,420,13,1607856526441,NONE,JUNGLE
25,KR,4845661048,2,420,13,1607854429691,NONE,JUNGLE
26,KR,4845641476,104,420,13,1607851999748,NONE,JUNGLE
27,KR,4845416796,201,420,13,1607850014668,DUO_SUPPORT,NONE
28,KR,4845185783,163,420,13,1607846809970,NONE,JUNGLE
29,KR,4845181279,163,420,13,1607845536558,DUO_SUPPORT,NONE
