,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4073238652,235,420,13,1578506587385,DUO_SUPPORT,NONE
1,KR,4067869367,235,420,13,1578242217977,DUO_SUPPORT,NONE
2,KR,4067912145,235,420,13,1578240053565,DUO_SUPPORT,BOTTOM
3,KR,4067153284,111,420,13,1578223631958,DUO_SUPPORT,NONE
4,KR,4067110021,412,420,13,1578220488269,DUO_SUPPORT,TOP
5,KR,4059526006,350,420,13,1577880472875,DUO_SUPPORT,BOTTOM
6,KR,4059335659,44,420,13,1577877806039,NONE,JUNGLE
7,KR,4059224866,53,420,13,1577875079765,DUO_SUPPORT,BOTTOM
8,KR,4053435020,111,420,13,1577611255856,DUO_SUPPORT,BOTTOM
9,KR,4053401913,43,420,13,1577608384929,DUO_SUPPORT,BOTTOM
10,KR,4052387193,111,420,13,1577558721287,DUO_SUPPORT,BOTTOM
11,KR,4052346559,412,420,13,1577557217427,DUO_SUPPORT,BOTTOM
12,KR,4052317762,111,420,13,1577553932171,DUO_SUPPORT,BOTTOM
13,KR,4052275820,412,420,13,1577552310585,DUO_SUPPORT,NONE
14,KR,4052310006,12,420,13,1577550964445,DUO_SUPPORT,NONE
15,KR,4050433074,516,420,13,1577474154463,DUO_SUPPORT,NONE
16,KR,4050268272,89,420,13,1577470332652,DUO_SUPPORT,BOTTOM
17,KR,4050324642,235,420,13,1577469078747,DUO_SUPPORT,NONE
18,KR,4050149200,99,420,13,1577466395251,DUO_SUPPORT,BOTTOM
19,KR,4050141376,412,420,13,1577463448622,DUO_SUPPORT,BOTTOM
20,KR,4049175739,497,420,13,1577435745853,DUO_SUPPORT,BOTTOM
21,KR,4048430444,3,420,13,1577383960119,DUO_SUPPORT,BOTTOM
22,KR,4048337659,235,420,13,1577381544725,DUO_SUPPORT,BOTTOM
23,KR,4048324587,497,420,13,1577379556074,DUO_SUPPORT,BOTTOM
24,KR,4048268892,43,420,13,1577376946141,DUO_SUPPORT,BOTTOM
25,KR,4048234818,223,420,13,1577374615532,DUO_SUPPORT,BOTTOM
26,KR,4048225286,111,420,13,1577372166326,DUO_SUPPORT,MID
27,KR,4046837318,53,420,13,1577300279286,DUO_SUPPORT,MID
28,KR,4046863179,111,420,13,1577297296002,DUO_SUPPORT,MID
29,KR,4046799509,53,420,13,1577294848771,DUO_SUPPORT,BOTTOM
