,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4815224289,121,420,13,1606674487528,NONE,JUNGLE
1,KR,4815271422,141,420,13,1606672605229,NONE,JUNGLE
2,KR,4815068710,107,420,13,1606670486294,NONE,JUNGLE
3,KR,4815053866,32,420,13,1606667014024,NONE,JUNGLE
4,KR,4814982378,21,420,13,1606665695392,DUO_SUPPORT,NONE
5,KR,4814924236,203,420,13,1606663026725,NONE,JUNGLE
6,KR,4812759229,107,420,13,1606592809256,NONE,JUNGLE
7,KR,4812740397,81,420,13,1606585188764,DUO_CARRY,BOTTOM
8,KR,4812665478,21,420,13,1606582768710,DUO_SUPPORT,MID
9,KR,4812621611,32,420,13,1606580927500,NONE,JUNGLE
10,KR,4812512568,67,420,13,1606577534431,DUO,NONE
11,KR,4812395738,145,420,13,1606575183059,DUO_CARRY,BOTTOM
12,KR,4811879784,203,420,13,1606568600497,DUO_SUPPORT,NONE
13,KR,4811705239,107,420,13,1606564228011,DUO_SUPPORT,NONE
14,KR,4810344709,141,420,13,1606507722838,NONE,JUNGLE
15,KR,4810265014,60,420,13,1606505619974,NONE,JUNGLE
16,KR,4809864376,104,420,13,1606489889061,DUO_SUPPORT,NONE
17,KR,4809713292,203,420,13,1606486273715,DUO_SUPPORT,NONE
18,KR,4809263158,202,420,13,1606477927567,SOLO,MID
19,KR,4809025998,107,420,13,1606475605287,NONE,JUNGLE
20,KR,4807944798,121,420,13,1606415315261,DUO_SUPPORT,TOP
21,KR,4807890902,107,420,13,1606410901504,NONE,JUNGLE
22,KR,4807797987,76,420,13,1606408992185,DUO_SUPPORT,NONE
23,KR,4807834327,141,420,13,1606407406168,DUO_SUPPORT,NONE
24,KR,4807759258,876,420,13,1606405048762,NONE,JUNGLE
25,KR,4807706351,203,420,13,1606403468150,NONE,JUNGLE
26,KR,4806945863,22,420,13,1606387512955,DUO_CARRY,BOTTOM
27,KR,4806876469,120,420,13,1606383416038,NONE,JUNGLE
28,KR,4806821063,202,420,13,1606380218030,DUO_CARRY,BOTTOM
29,KR,4806646978,236,420,13,1606378080639,DUO_CARRY,BOTTOM
