,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4996043691,360,900,13,1613094228205,DUO_SUPPORT,NONE
1,KR,4996032862,5,900,13,1613093435433,DUO,NONE
2,KR,4995922931,104,900,13,1613075993616,DUO_SUPPORT,NONE
3,KR,4995872905,412,420,13,1613074922406,DUO_SUPPORT,NONE
4,KR,4995859722,412,420,13,1613072615310,DUO_SUPPORT,BOTTOM
5,KR,4995809593,412,420,13,1613071144126,DUO_SUPPORT,NONE
6,KR,4995826064,412,420,13,1613068468964,DUO_SUPPORT,BOTTOM
7,KR,4995714532,102,900,13,1613062444859,DUO_SUPPORT,NONE
8,KR,4993008405,75,900,13,1612993316718,DUO_SUPPORT,NONE
9,KR,4993007846,7,900,13,1612992185940,DUO_SUPPORT,NONE
10,KR,4993037170,4,900,13,1612991282428,DUO_SUPPORT,NONE
11,KR,4993046056,51,900,13,1612990143993,DUO_SUPPORT,NONE
12,KR,4993045419,145,900,13,1612989181252,DUO_SUPPORT,NONE
13,KR,4992994925,498,900,13,1612987574964,DUO_CARRY,BOTTOM
14,KR,4993042545,15,900,13,1612985740923,DUO,MID
15,KR,4992908090,12,900,13,1612981839988,DUO_SUPPORT,NONE
16,KR,4992935248,104,900,13,1612980397022,DUO_SUPPORT,NONE
17,KR,4992912437,80,900,13,1612979006431,DUO_SUPPORT,NONE
18,KR,4992819134,121,900,13,1612977697310,DUO_SUPPORT,NONE
19,KR,4992835052,96,450,13,1612976286204,SOLO,TOP
20,KR,4992811429,76,900,13,1612975085904,DUO_SUPPORT,NONE
21,KR,4992765196,81,900,13,1612973626978,DUO_CARRY,BOTTOM
22,KR,4992692514,56,900,13,1612972622411,DUO_SUPPORT,NONE
23,KR,4992598060,105,900,13,1612971504064,DUO_SUPPORT,NONE
24,KR,4992582085,64,900,13,1612970154609,DUO,BOTTOM
25,KR,4992535458,21,900,13,1612968792062,DUO,NONE
26,KR,4992388779,25,900,13,1612967360553,SOLO,TOP
27,KR,4990776008,3,900,13,1612930848423,DUO_SUPPORT,NONE
28,KR,4990762829,2,900,13,1612929476718,DUO_SUPPORT,NONE
29,KR,4990096032,222,450,13,1612893645959,DUO,NONE
