,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4838217594,62,420,13,1607592259318,DUO_SUPPORT,NONE
1,KR,4838183890,80,420,13,1607590334534,SOLO,TOP
2,KR,4837345345,29,450,13,1607540092339,DUO_SUPPORT,MID
3,KR,4837284386,498,450,13,1607538342561,DUO,TOP
4,KR,4837261607,126,420,13,1607535309562,DUO,MID
5,KR,4837199318,18,420,13,1607533667280,SOLO,TOP
6,KR,4837222906,163,420,13,1607529756372,NONE,JUNGLE
7,KR,4837108366,126,420,13,1607527452090,SOLO,TOP
8,KR,4837063442,133,420,13,1607525256627,SOLO,TOP
9,KR,4836158838,164,420,13,1607505756917,SOLO,TOP
10,KR,4836164283,875,420,13,1607503726670,SOLO,TOP
11,KR,4834164086,126,420,13,1607419623673,SOLO,TOP
12,KR,4833160031,164,420,13,1607356697171,SOLO,TOP
13,KR,4833124304,41,420,13,1607354429402,SOLO,TOP
14,KR,4833009605,68,420,13,1607352417397,SOLO,TOP
15,KR,4832915272,875,420,13,1607350299802,SOLO,TOP
16,KR,4832757581,777,420,13,1607348114548,SOLO,MID
17,KR,4832162123,517,420,13,1607330722089,SOLO,TOP
18,KR,4832146398,164,420,13,1607328545382,SOLO,TOP
19,KR,4825936550,126,420,13,1607093344195,DUO,MID
20,KR,4825495291,517,420,13,1607084762877,DUO_SUPPORT,NONE
21,KR,4825433352,58,420,13,1607081169437,NONE,JUNGLE
22,KR,4825227695,112,420,13,1607078671595,SOLO,MID
23,KR,4824770473,58,420,13,1607066374625,NONE,JUNGLE
24,KR,4824694415,58,420,13,1607063645529,SOLO,TOP
25,KR,4824599686,58,420,13,1607061524233,NONE,JUNGLE
26,KR,4824613566,875,420,13,1607058600223,DUO,TOP
27,KR,4824478691,84,420,13,1607055887006,SOLO,TOP
28,KR,4821804356,13,420,13,1606929854134,SOLO,TOP
29,KR,4821821167,41,420,13,1606927659441,DUO_SUPPORT,NONE
