,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4805523805,131,450,13,1606317845045,DUO_SUPPORT,TOP
1,KR,4772700064,147,420,13,1604920193573,DUO,MID
2,KR,4765761267,3,420,13,1604664630512,SOLO,MID
3,KR,4764401692,120,450,13,1604598001516,DUO_SUPPORT,MID
4,KR,4763791110,875,420,13,1604576993393,SOLO,MID
5,KR,4763358661,147,420,13,1604573139173,DUO_SUPPORT,BOTTOM
6,KR,4761747636,147,420,13,1604492304067,NONE,JUNGLE
7,KR,4761648222,12,420,13,1604489755026,DUO_SUPPORT,BOTTOM
8,KR,4761660035,80,420,13,1604487223033,DUO_SUPPORT,BOTTOM
9,KR,4761165083,84,420,13,1604468073939,DUO_SUPPORT,NONE
10,KR,4761141567,517,420,13,1604465998682,DUO,MID
11,KR,4760977413,875,420,13,1604463221225,SOLO,MID
12,KR,4759758354,147,420,13,1604404826634,DUO_SUPPORT,BOTTOM
13,KR,4759760837,517,420,13,1604402757110,SOLO,MID
14,KR,4759607084,84,420,13,1604401241217,DUO_SUPPORT,NONE
15,KR,4759590387,38,420,13,1604399007488,SOLO,MID
16,KR,4742596867,68,420,13,1603709868542,DUO,TOP
17,KR,4741861378,115,440,13,1603655036000,SOLO,MID
18,KR,4741798495,254,440,13,1603653223364,NONE,JUNGLE
19,KR,4741815260,54,440,13,1603650358568,SOLO,MID
20,KR,4741841585,64,440,13,1603648015942,NONE,JUNGLE
21,KR,4741739601,18,440,13,1603646086964,DUO,MID
22,KR,4741760203,876,440,13,1603644750702,DUO_SUPPORT,NONE
23,KR,4734916675,68,420,13,1603432720422,SOLO,MID
24,KR,4734779081,517,420,13,1603428860673,SOLO,MID
25,KR,4731654550,517,420,13,1603278914241,SOLO,MID
26,KR,4731610906,68,420,13,1603277164298,SOLO,MID
27,KR,4731552698,517,420,13,1603274963280,DUO_SUPPORT,NONE
28,KR,4731127673,68,420,13,1603260258377,SOLO,MID
29,KR,4731082669,246,420,13,1603257682081,SOLO,MID
