,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4839191235,266,430,13,1607615435739,SOLO,TOP
1,KR,4830644125,164,700,13,1607259866479,SOLO,TOP
2,KR,4830503337,112,700,13,1607256744450,DUO,MID
3,KR,4830394387,10,700,13,1607254243191,SOLO,TOP
4,KR,4824613829,126,420,13,1607058775602,SOLO,TOP
5,KR,4816259504,114,420,13,1606729752992,SOLO,TOP
6,KR,4816216275,82,420,13,1606727758184,DUO_SUPPORT,NONE
7,KR,4816252444,24,420,13,1606726019452,SOLO,TOP
8,KR,4816027421,516,420,13,1606723763037,SOLO,TOP
9,KR,4815916673,164,420,13,1606722754528,DUO,NONE
10,KR,4816000963,114,420,13,1606720388384,SOLO,TOP
11,KR,4814660904,126,420,13,1606655369786,SOLO,TOP
12,KR,4811774517,164,440,13,1606564547595,SOLO,TOP
13,KR,4811515202,54,420,13,1606557905895,SOLO,TOP
14,KR,4810825358,164,420,13,1606543314311,SOLO,TOP
15,KR,4810860791,516,420,13,1606541757109,DUO_SUPPORT,NONE
16,KR,4807549485,164,420,13,1606401048090,SOLO,TOP
17,KR,4803305360,32,440,13,1606227122696,NONE,JUNGLE
18,KR,4782806525,82,430,13,1605344007253,SOLO,TOP
19,KR,4775655050,58,430,13,1605058501655,DUO,NONE
20,KR,4775473196,58,430,13,1605055946246,NONE,JUNGLE
21,KR,4775079473,126,440,13,1605034015727,SOLO,MID
22,KR,4775106504,24,440,13,1605031133397,SOLO,TOP
23,KR,4773534227,14,900,13,1604940553607,DUO,NONE
24,KR,4773453034,126,430,13,1604934635734,SOLO,TOP
25,KR,4771577956,24,420,13,1604852268816,DUO,MID
26,KR,4771620902,106,420,13,1604849566868,SOLO,TOP
27,KR,4771523932,114,420,13,1604847140448,SOLO,TOP
28,KR,4771413111,114,420,13,1604843994297,DUO_SUPPORT,NONE
29,KR,4771116750,24,420,13,1604842156443,SOLO,TOP
