,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850414686,34,420,13,1608039441612,DUO_CARRY,MID
1,KR,4848635430,163,420,13,1607969862207,DUO_SUPPORT,NONE
2,KR,4848603451,163,420,13,1607967698778,NONE,JUNGLE
3,KR,4848537660,34,420,13,1607964063589,SOLO,MID
4,KR,4848534462,105,420,13,1607962234589,SOLO,MID
5,KR,4848419569,76,420,13,1607959823269,DUO_SUPPORT,NONE
6,KR,4848434530,84,420,13,1607957965852,SOLO,MID
7,KR,4847640706,34,420,13,1607937032570,SOLO,MID
8,KR,4846632560,245,420,13,1607877003271,NONE,JUNGLE
9,KR,4846440348,202,420,13,1607871358208,NONE,JUNGLE
10,KR,4846051616,202,420,13,1607865264837,SOLO,MID
11,KR,4846022261,202,420,13,1607863054328,DUO,MID
12,KR,4845932899,34,420,13,1607860598794,SOLO,MID
13,KR,4845821502,4,420,13,1607857569970,SOLO,MID
14,KR,4845694689,134,420,13,1607855546963,SOLO,MID
15,KR,4844291816,53,420,13,1607793537935,DUO_SUPPORT,BOTTOM
16,KR,4844102479,4,420,13,1607789649755,SOLO,MID
17,KR,4843827501,4,420,13,1607787851617,SOLO,MID
18,KR,4843585053,34,420,13,1607781534502,DUO,MID
19,KR,4842777815,90,420,13,1607765031893,DUO_SUPPORT,NONE
20,KR,4842840393,34,420,13,1607762694259,SOLO,MID
21,KR,4841860165,517,420,13,1607711390029,DUO_CARRY,MID
22,KR,4841538263,79,420,13,1607709183228,SOLO,MID
23,KR,4841482969,69,420,13,1607706147938,SOLO,MID
24,KR,4841407349,34,420,13,1607703924686,SOLO,MID
25,KR,4841441148,14,420,13,1607702083189,SOLO,MID
26,KR,4841324484,777,420,13,1607699490811,SOLO,MID
27,KR,4841076234,80,420,13,1607694176645,SOLO,MID
28,KR,4840302925,875,420,13,1607677517425,DUO,TOP
29,KR,4840106897,4,420,13,1607671052043,DUO,TOP
