,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850058332,85,420,13,1608031565324,SOLO,TOP
1,KR,4841720227,54,420,13,1607710095010,SOLO,TOP
2,KR,4841496673,84,420,13,1607708046744,SOLO,TOP
3,KR,4841511654,58,420,13,1607705679176,DUO,TOP
4,KR,4841435060,84,420,13,1607703119992,SOLO,TOP
5,KR,4841258313,112,420,13,1607700460040,SOLO,MID
6,KR,4841302133,84,420,13,1607698745004,DUO_SUPPORT,NONE
7,KR,4841162669,62,420,13,1607695901258,SOLO,TOP
8,KR,4841127093,54,420,13,1607694535667,DUO_SUPPORT,NONE
9,KR,4840940687,164,420,13,1607687690777,SOLO,TOP
10,KR,4839284921,54,420,13,1607626555889,SOLO,TOP
11,KR,4839282680,164,420,13,1607623858244,SOLO,TOP
12,KR,4839300403,62,420,13,1607621730025,DUO,TOP
13,KR,4839168131,54,420,13,1607619511839,SOLO,TOP
14,KR,4839233900,266,420,13,1607617332687,SOLO,TOP
15,KR,4839220842,58,420,13,1607615626617,DUO,NONE
16,KR,4839137636,54,420,13,1607614028327,NONE,JUNGLE
17,KR,4837347056,84,420,13,1607543249910,SOLO,TOP
18,KR,4837336093,54,420,13,1607541394819,DUO_SUPPORT,NONE
19,KR,4837285204,54,420,13,1607539601431,SOLO,TOP
20,KR,4837273237,266,420,13,1607537052447,DUO,TOP
21,KR,4837300866,112,420,13,1607534944715,DUO_SUPPORT,NONE
22,KR,4837237991,54,420,13,1607532856979,DUO_SUPPORT,TOP
23,KR,4837205171,266,420,13,1607530853919,DUO_SUPPORT,TOP
24,KR,4837221888,84,420,13,1607529187321,DUO,TOP
25,KR,4837096933,41,420,13,1607526763066,SOLO,TOP
26,KR,4837072771,62,420,13,1607525039393,SOLO,TOP
27,KR,4836952051,8,420,13,1607521215968,SOLO,TOP
28,KR,4835179961,54,420,13,1607452807549,SOLO,TOP
29,KR,4835236441,84,420,13,1607450430144,SOLO,TOP
