,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848643345,238,450,13,1607968173310,DUO_SUPPORT,NONE
1,KR,4848611521,266,420,13,1607966196312,SOLO,TOP
2,KR,4848544221,126,420,13,1607962304314,SOLO,TOP
3,KR,4848531868,79,420,13,1607960968730,DUO_SUPPORT,NONE
4,KR,4848397403,57,420,13,1607958729917,DUO_SUPPORT,BOTTOM
5,KR,4846555296,202,430,13,1607877948444,DUO,TOP
6,KR,4846438876,245,450,13,1607874829891,DUO,TOP
7,KR,4844266031,110,450,13,1607795698564,DUO_SUPPORT,NONE
8,KR,4841523727,266,420,13,1607706688505,DUO,MID
9,KR,4841367190,58,420,13,1607703764401,SOLO,TOP
10,KR,4841372176,126,420,13,1607701885881,NONE,JUNGLE
11,KR,4841324484,164,420,13,1607699490811,SOLO,TOP
12,KR,4835195917,516,420,13,1607449197226,SOLO,TOP
13,KR,4835232534,164,420,13,1607446890817,SOLO,TOP
14,KR,4835160971,142,420,13,1607444570644,DUO_CARRY,MID
15,KR,4835135183,69,420,13,1607442322875,SOLO,TOP
16,KR,4835091519,164,420,13,1607440297061,SOLO,TOP
17,KR,4834089820,164,420,13,1607417831996,DUO_CARRY,TOP
18,KR,4833228723,126,420,13,1607364366541,DUO_SUPPORT,TOP
19,KR,4833207510,126,420,13,1607362765162,SOLO,TOP
20,KR,4833195484,142,420,13,1607360684728,DUO_SUPPORT,NONE
21,KR,4833162054,126,420,13,1607357812511,DUO,TOP
22,KR,4833135679,84,420,13,1607355273885,SOLO,TOP
23,KR,4833053354,84,420,13,1607353369315,NONE,JUNGLE
24,KR,4832156937,126,420,13,1607333095304,SOLO,TOP
25,KR,4831198298,164,420,13,1607272246284,SOLO,TOP
26,KR,4831192426,236,420,13,1607269166713,SOLO,MID
27,KR,4831043717,142,420,13,1607265438270,DUO,MID
28,KR,4830894421,126,420,13,1607262578261,SOLO,TOP
29,KR,4830624700,266,420,13,1607259746304,DUO_SUPPORT,NONE
