,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848493381,81,420,13,1607961307182,SOLO,BOTTOM
1,KR,4848448037,104,420,13,1607959569633,DUO_SUPPORT,NONE
2,KR,4848443009,163,420,13,1607957546798,DUO,NONE
3,KR,4848057299,245,420,13,1607949333307,NONE,JUNGLE
4,KR,4848091654,245,420,13,1607947892339,DUO_SUPPORT,NONE
5,KR,4848025978,245,420,13,1607946387063,DUO_SUPPORT,NONE
6,KR,4847872041,163,420,13,1607941625855,DUO_SUPPORT,NONE
7,KR,4847714933,163,420,13,1607939094980,DUO_SUPPORT,TOP
8,KR,4847600873,163,420,13,1607936992050,DUO_SUPPORT,NONE
9,KR,4846801928,104,420,13,1607884207132,NONE,JUNGLE
10,KR,4846558558,245,420,13,1607880345617,DUO_SUPPORT,NONE
11,KR,4846644967,245,420,13,1607878932734,DUO_SUPPORT,NONE
12,KR,4846562349,163,420,13,1607876433736,NONE,JUNGLE
13,KR,4846379553,163,420,13,1607875040610,DUO_SUPPORT,NONE
14,KR,4846405648,13,430,13,1607873273899,DUO_SUPPORT,NONE
15,KR,4846198902,163,420,13,1607870598382,NONE,JUNGLE
16,KR,4846139320,245,420,13,1607867656311,NONE,JUNGLE
17,KR,4846130367,163,420,13,1607865152637,NONE,JUNGLE
18,KR,4846012502,245,420,13,1607863073665,NONE,JUNGLE
19,KR,4845485667,163,420,13,1607849871707,NONE,JUNGLE
20,KR,4841554346,245,420,13,1607707059756,NONE,JUNGLE
21,KR,4841490482,163,420,13,1607705045426,NONE,JUNGLE
22,KR,4841440301,163,420,13,1607701779520,NONE,JUNGLE
23,KR,4841323282,245,420,13,1607699169373,NONE,JUNGLE
24,KR,4840294274,245,420,13,1607678013031,NONE,JUNGLE
25,KR,4840197877,163,420,13,1607675312230,DUO_SUPPORT,NONE
26,KR,4839293674,245,420,13,1607624925116,NONE,JUNGLE
27,KR,4839310597,245,420,13,1607622056488,NONE,JUNGLE
28,KR,4839198212,79,420,13,1607619783206,NONE,JUNGLE
29,KR,4839155990,121,420,13,1607617993005,NONE,JUNGLE
