,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4835991588,875,420,13,1607493653922,SOLO,BOTTOM
1,KR,4835918755,145,450,13,1607492085329,DUO,NONE
2,KR,4835903287,497,420,13,1607489464302,DUO_SUPPORT,NONE
3,KR,4835828239,12,420,13,1607486410067,DUO_SUPPORT,BOTTOM
4,KR,4835225520,12,420,13,1607449177781,DUO_SUPPORT,BOTTOM
5,KR,4835222163,12,420,13,1607446494015,DUO_SUPPORT,MID
6,KR,4835129150,44,420,13,1607444467364,DUO_SUPPORT,BOTTOM
7,KR,4835078621,497,420,13,1607443263628,DUO,NONE
8,KR,4835075513,12,420,13,1607441721292,DUO_SUPPORT,NONE
9,KR,4833771880,89,420,13,1607404039403,DUO_SUPPORT,BOTTOM
10,KR,4833505979,44,420,13,1607401060193,DUO_SUPPORT,BOTTOM
11,KR,4833492399,412,420,13,1607398458086,DUO_SUPPORT,NONE
12,KR,4833490033,89,420,13,1607396846921,DUO_SUPPORT,NONE
13,KR,4833377780,142,420,13,1607394729148,SOLO,MID
14,KR,4833442977,80,420,13,1607392391004,DUO_SUPPORT,BOTTOM
15,KR,4833088449,875,420,13,1607356253411,DUO_SUPPORT,BOTTOM
16,KR,4833083827,412,420,13,1607353953040,DUO_SUPPORT,BOTTOM
17,KR,4832987551,497,420,13,1607351521618,SOLO,BOTTOM
18,KR,4833001668,497,420,13,1607349550162,DUO_SUPPORT,NONE
19,KR,4832726435,412,420,13,1607347535567,SOLO,BOTTOM
20,KR,4832476498,497,420,13,1607344437411,DUO_SUPPORT,BOTTOM
21,KR,4832462593,80,420,13,1607343199157,DUO_SUPPORT,NONE
22,KR,4832156937,201,420,13,1607333095304,DUO_SUPPORT,BOTTOM
23,KR,4832191262,80,420,13,1607330606356,DUO_SUPPORT,BOTTOM
24,KR,4832095870,25,420,13,1607327856292,DUO_SUPPORT,BOTTOM
25,KR,4832112562,89,420,13,1607326361845,DUO_SUPPORT,NONE
26,KR,4831997291,875,420,13,1607324004794,DUO_SUPPORT,BOTTOM
27,KR,4831885089,497,420,13,1607322189912,DUO_SUPPORT,BOTTOM
28,KR,4831890616,497,420,13,1607319777895,DUO_SUPPORT,BOTTOM
29,KR,4830917728,497,420,13,1607263657899,DUO_SUPPORT,BOTTOM
