,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4990261584,61,420,13,1612899475311,SOLO,MID
1,KR,4990119321,39,420,13,1612896556979,SOLO,MID
2,KR,4989672225,142,440,13,1612879714501,SOLO,MID
3,KR,4988559075,61,420,13,1612858177034,DUO,MID
4,KR,4988494856,39,420,13,1612856463560,SOLO,MID
5,KR,4988459524,236,420,13,1612855058490,DUO_SUPPORT,NONE
6,KR,4987743160,777,420,13,1612809330433,SOLO,MID
7,KR,4987599173,236,420,13,1612806415924,SOLO,MID
8,KR,4987594645,61,420,13,1612803902250,DUO,TOP
9,KR,4987650433,236,420,13,1612802403152,DUO_SUPPORT,NONE
10,KR,4987426510,236,420,13,1612800603839,SOLO,MID
11,KR,4987087313,134,420,13,1612795203320,DUO_SUPPORT,NONE
12,KR,4986996602,147,420,13,1612792936561,DUO_SUPPORT,BOTTOM
13,KR,4986940899,164,420,13,1612789865800,SOLO,TOP
14,KR,4986812649,134,420,13,1612788131755,SOLO,MID
15,KR,4985705158,134,420,13,1612765085452,SOLO,MID
16,KR,4985082770,777,420,13,1612718551165,SOLO,MID
17,KR,4985035952,134,420,13,1612715814290,SOLO,MID
18,KR,4984241573,61,420,13,1612700957999,DUO,MID
19,KR,4982110759,134,420,13,1612635277691,DUO,NONE
20,KR,4982066386,134,420,13,1612633739395,DUO_SUPPORT,NONE
21,KR,4981993544,875,420,13,1612632196245,DUO_SUPPORT,NONE
22,KR,4981873710,84,420,13,1612628994422,SOLO,MID
23,KR,4976131047,61,420,13,1612462242716,SOLO,MID
24,KR,4975978398,236,420,13,1612460079654,SOLO,MID
25,KR,4976015103,39,420,13,1612458327150,DUO_SUPPORT,NONE
26,KR,4975991141,164,420,13,1612456258391,SOLO,TOP
27,KR,4975894640,142,420,13,1612453666422,DUO_SUPPORT,NONE
28,KR,4975857552,875,420,13,1612451518592,SOLO,MID
29,KR,4974558121,4,420,13,1612420695006,SOLO,MID
