,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848093297,58,420,13,1607948382236,SOLO,TOP
1,KR,4846744721,79,420,13,1607886852790,SOLO,TOP
2,KR,4846375670,68,420,13,1607873227591,SOLO,TOP
3,KR,4846168344,79,420,13,1607870266624,SOLO,TOP
4,KR,4843035389,79,420,13,1607767550748,SOLO,TOP
5,KR,4842764694,68,420,13,1607763944694,DUO,MID
6,KR,4841814829,80,420,13,1607715176691,DUO,TOP
7,KR,4841862026,150,420,13,1607713150009,SOLO,TOP
8,KR,4841750775,57,420,13,1607710778678,DUO,MID
9,KR,4841535913,68,420,13,1607707769948,NONE,JUNGLE
10,KR,4841521586,150,420,13,1607705636761,SOLO,TOP
11,KR,4841368219,150,420,13,1607704141272,DUO_SUPPORT,NONE
12,KR,4841381281,150,420,13,1607701695418,SOLO,TOP
13,KR,4841284032,68,420,13,1607699266920,SOLO,TOP
14,KR,4841237922,57,420,13,1607697527210,DUO_SUPPORT,BOTTOM
15,KR,4841105696,150,420,13,1607694130664,SOLO,TOP
16,KR,4840968119,150,420,13,1607692095582,SOLO,MID
17,KR,4840908937,68,420,13,1607689737675,SOLO,TOP
18,KR,4839268136,68,420,13,1607631900994,SOLO,TOP
19,KR,4839266675,85,420,13,1607628660912,SOLO,TOP
20,KR,4839255343,85,420,13,1607626363267,SOLO,TOP
21,KR,4839342966,54,420,13,1607625101345,DUO_SUPPORT,NONE
22,KR,4839301957,114,420,13,1607623277149,SOLO,TOP
23,KR,4839238495,150,420,13,1607620419340,SOLO,TOP
24,KR,4839205438,68,420,13,1607618061906,SOLO,TOP
25,KR,4839151523,85,420,13,1607615506412,SOLO,TOP
26,KR,4839007980,127,420,13,1607610072976,SOLO,TOP
27,KR,4838983306,150,420,13,1607608415916,DUO_SUPPORT,NONE
28,KR,4838857643,68,420,13,1607606482408,DUO_CARRY,MID
29,KR,4838892663,68,420,13,1607605095650,DUO_SUPPORT,NONE
