,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4979633061,875,420,13,1612585118486,NONE,JUNGLE
1,KR,4979306438,79,420,13,1612582024760,DUO_SUPPORT,NONE
2,KR,4979011245,526,420,13,1612549574304,DUO_SUPPORT,NONE
3,KR,4978905861,43,420,13,1612546834328,DUO_SUPPORT,BOTTOM
4,KR,4978872805,12,420,13,1612545520712,DUO_SUPPORT,NONE
5,KR,4978786802,526,420,13,1612543485975,DUO_SUPPORT,BOTTOM
6,KR,4976152648,34,420,13,1612463902396,DUO_SUPPORT,BOTTOM
7,KR,4976101257,59,420,13,1612462188801,DUO_SUPPORT,BOTTOM
8,KR,4975988298,432,420,13,1612460115543,DUO_SUPPORT,BOTTOM
9,KR,4976063266,22,420,13,1612457497121,DUO_SUPPORT,BOTTOM
10,KR,4975969233,26,420,13,1612455688074,DUO_SUPPORT,BOTTOM
11,KR,4975679316,526,420,13,1612449012823,DUO_SUPPORT,BOTTOM
12,KR,4973703759,12,420,13,1612375541285,DUO_SUPPORT,BOTTOM
13,KR,4973681724,235,420,13,1612373987123,DUO_SUPPORT,NONE
14,KR,4973645452,22,420,13,1612370544898,DUO_SUPPORT,BOTTOM
15,KR,4973660975,147,420,13,1612368600011,DUO_SUPPORT,BOTTOM
16,KR,4973496806,79,420,13,1612366881248,DUO_SUPPORT,BOTTOM
17,KR,4973419420,412,420,13,1612364502665,DUO_SUPPORT,BOTTOM
18,KR,4973451283,99,420,13,1612362335543,DUO_SUPPORT,BOTTOM
19,KR,4973107824,67,420,13,1612356661155,DUO,NONE
20,KR,4973151929,412,420,13,1612355287055,DUO_SUPPORT,NONE
21,KR,4972985641,412,420,13,1612353529278,DUO_SUPPORT,BOTTOM
22,KR,4972897210,497,420,13,1612351106125,DUO_SUPPORT,BOTTOM
23,KR,4972940299,147,420,13,1612348869161,DUO_SUPPORT,BOTTOM
24,KR,4971886708,526,420,13,1612321931837,DUO_SUPPORT,BOTTOM
25,KR,4968867015,79,420,13,1612196677377,DUO_SUPPORT,BOTTOM
26,KR,4967337422,235,420,13,1612162635569,DUO_SUPPORT,NONE
27,KR,4967293612,79,420,13,1612160879599,DUO_SUPPORT,NONE
28,KR,4944271950,79,420,13,1611399911056,DUO_SUPPORT,BOTTOM
29,KR,4940013825,111,420,13,1611291568884,DUO_SUPPORT,BOTTOM
