,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850393743,164,420,13,1608038991392,SOLO,TOP
1,KR,4850248722,164,420,13,1608035013338,DUO_CARRY,TOP
2,KR,4850040875,875,420,13,1608029065973,SOLO,TOP
3,KR,4849376052,875,420,13,1608015137458,DUO_SUPPORT,NONE
4,KR,4849307373,164,420,13,1608011841447,SOLO,TOP
5,KR,4849282824,39,420,13,1608009441599,SOLO,TOP
6,KR,4849178149,266,420,13,1608007204889,SOLO,TOP
7,KR,4848681648,58,420,13,1607967454776,SOLO,TOP
8,KR,4848529745,875,420,13,1607965437261,SOLO,TOP
9,KR,4848504482,875,420,13,1607961981193,SOLO,TOP
10,KR,4848388798,62,420,13,1607959239997,SOLO,TOP
11,KR,4847281401,39,420,13,1607929015886,SOLO,TOP
12,KR,4847196211,875,420,13,1607926877116,NONE,JUNGLE
13,KR,4847180183,266,420,13,1607924064430,SOLO,TOP
14,KR,4847127062,875,420,13,1607922837631,DUO,NONE
15,KR,4847084814,516,420,13,1607921480278,DUO,NONE
16,KR,4847060306,875,420,13,1607918859865,DUO,MID
17,KR,4815658717,106,420,13,1606714124764,DUO,TOP
18,KR,4815644323,126,420,13,1606711555497,DUO_SUPPORT,NONE
19,KR,4815621152,39,420,13,1606709448812,SOLO,MID
20,KR,4808305836,875,420,13,1606452500705,DUO_SUPPORT,NONE
21,KR,4807839449,84,420,13,1606410493815,SOLO,TOP
22,KR,4807845344,58,420,13,1606407964426,DUO_SUPPORT,NONE
23,KR,4807689986,62,420,13,1606404932314,SOLO,TOP
24,KR,4807724508,24,420,13,1606403054642,DUO_SUPPORT,NONE
25,KR,4806337869,517,420,13,1606373870223,DUO_SUPPORT,NONE
26,KR,4806393291,106,420,13,1606372052199,SOLO,TOP
27,KR,4806420542,24,420,13,1606370908181,DUO_SUPPORT,NONE
28,KR,4806230581,517,420,13,1606364935169,SOLO,MID
29,KR,4805458023,517,420,13,1606319665845,DUO_SUPPORT,NONE
