,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4073330827,111,420,13,1578508660184,DUO_SUPPORT,MID
1,KR,4073097831,412,420,13,1578496670342,DUO_SUPPORT,BOTTOM
2,KR,4073059428,60,420,13,1578494141068,NONE,JUNGLE
3,KR,4071401608,89,420,13,1578423336113,DUO_SUPPORT,NONE
4,KR,4071332840,412,420,13,1578420840779,DUO_SUPPORT,BOTTOM
5,KR,4071298168,89,420,13,1578418280847,DUO_SUPPORT,BOTTOM
6,KR,4071284653,89,420,13,1578416138439,DUO_SUPPORT,BOTTOM
7,KR,4071270337,111,420,13,1578413867469,DUO_SUPPORT,BOTTOM
8,KR,4071180016,111,420,13,1578409714744,DUO_SUPPORT,BOTTOM
9,KR,4069957857,516,420,13,1578374412656,DUO,MID
10,KR,4069712453,111,420,13,1578334366077,DUO_SUPPORT,BOTTOM
11,KR,4069659289,89,420,13,1578332950353,DUO_SUPPORT,NONE
12,KR,4069655380,111,420,13,1578330394828,DUO_SUPPORT,BOTTOM
13,KR,4069624546,89,420,13,1578328838594,DUO_SUPPORT,NONE
14,KR,4069611863,497,420,13,1578327430904,DUO_SUPPORT,NONE
15,KR,4069438652,89,420,13,1578322347778,DUO_SUPPORT,BOTTOM
16,KR,4069388727,145,420,13,1578319792902,DUO_CARRY,BOTTOM
17,KR,4068597450,111,420,13,1578301822900,DUO_SUPPORT,NONE
18,KR,4068355424,89,420,13,1578289284951,DUO_SUPPORT,MID
19,KR,4068082791,89,420,13,1578251685703,DUO_SUPPORT,BOTTOM
20,KR,4068090108,235,420,13,1578248963525,DUO_CARRY,BOTTOM
21,KR,4068024562,64,420,13,1578245336021,NONE,JUNGLE
22,KR,4067982794,111,420,13,1578243705125,DUO_SUPPORT,NONE
23,KR,4067856691,89,420,13,1578240852564,DUO_SUPPORT,BOTTOM
24,KR,4067728092,25,420,13,1578237367533,DUO_SUPPORT,NONE
25,KR,4067027934,412,420,13,1578219921260,DUO_SUPPORT,MID
26,KR,4065838186,516,420,13,1578162449771,SOLO,TOP
27,KR,4065843524,89,420,13,1578160160864,DUO_SUPPORT,BOTTOM
28,KR,4065786859,111,420,13,1578157824500,DUO_SUPPORT,BOTTOM
29,KR,4065732199,235,420,13,1578155487951,DUO_SUPPORT,BOTTOM
